Loop ID,EDI Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Hardcode,Extract layout name,Position,Level,Mapping Logic,COMMENTS,PIEDMONT
2300,2300.HI23.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG Condition,"Hardcode as ""BG""",,,,,,
2300,2300.HI23.02,Industry Code,Code indicating a code from a specific industry code list,R,,,CONDITION_CODE_23,44,Claim,,,
2300,2300.HI24,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI24.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG Condition,"Hardcode as ""BG""",,,,,,
2300,2300.HI24.02,Industry Code,Code indicating a code from a specific industry code list,R,,,CONDITION_CODE_24,45,Claim,,,
2300,HI,Treatment Code Information,,S,,,,,,,,
2300,2300.HI01.01,Code List Qualifier Code,,,TC Treatment Codes,,,,,,,
2300,2300.HI01.02,Industry Code,,,,,,,,,,
2300,2300.HI02.01,Code List Qualifier Code,,,,,,,,,,
2300,2300.HI02.02,Industry Code,,,,,,,,,,
2300,2300.HI03.01,Code List Qualifier Code,,,,,,,,,,
2300,2300.HI03.02,Industry Code,,,,,,,,,,
2300,2300.HI04.01,Code List Qualifier Code,,,,,,,,,,
2300,2300.HI04.02,Industry Code,,,,,,,,,,
2300,2300.HI05.01,Code List Qualifier Code,,,,,,,,,,
2300,2300.HI05.02,Industry Code,,,,,,,,,,
2300,2300.HI06.01,Code List Qualifier Code,,,,,,,,,,
2300,2300.HI06.02,Industry Code,,,,,,,,,,
2300,2300.HI07.01,Code List Qualifier Code,,,,,,,,,,
2300,2300.HI07.02,Industry Code,,,,,,,,,,
2300,2300.HI08.01,Code List Qualifier Code,,,,,,,,,,
2300,2300.HI08.02,Industry Code,,,,,,,,,,
2300,2300.HI09.01,Code List Qualifier Code,,,,,,,,,,
2300,2300.HI09.02,Industry Code,,,,,,,,,,
2300,2300.HI10.01,Code List Qualifier Code,,,,,,,,,,
2300,2300.HI10.02,Industry Code,,,,,,,,,,
2300,2300.HI11.01,Code List Qualifier Code,,,,,,,,,,
2300,2300.HI11.02,Industry Code,,,,,,,,,,
2300,2300.HI12.01,Code List Qualifier Code,,,,,,,,,,
2300,2300.HI12.02,Industry Code,,,,,,,,,,
2300,HI,Claim Pricing/Repricing Information,,,,,,,,,,
2300,2300.HCP01,Pricing Methodology,,,,,,,,,,
2300,2300.HCP02,Monetary Amount,,,,,,,,,,
2300,2300.HCP03,Monetary Amount,,,,,,,,,,
2300,2300.HCP04,Reference Identification,,,,,,,,,,
2300,2300.HCP05,Rate,,,,,,,,,,
2300,2300.HCP06,Reference Identification,,,,,,,,,,
2300,2300.HCP07,Monetary Amount,,,,,,,,,,
2300,2300.HCP08,Product/Service ID,,,,,,,,,,
2300,2300.HCP11,Unit or Basis for Measurement Code,,,"DA Days
UN Unit",,,,,,,
2300,2300.HCP12,Quantity,,,,,,,,,,
2300,2300.HCP13,Reject Reason Code,,,"T1 Cannot Identify Provider as TPO (Third Party
Organization) Participant
T2 Cannot Identify Payer as TPO (Third Party
Organization) Participant
T3 Cannot Identify Insured as TPO (Third Party
Organization) Participant
T4 Payer Name or Identifier Missing
T5 Certification Information Missing
T6 Claim does not contain enough information for repricing",,,,,,,
2300,2300.HCP14,Policy Compliance Code,,,"1 Procedure Followed (Compliance)
2 Not Followed - Call Not Made (Non-Compliance Call
Not Made)
3 Not Medically Necessary (Non-Compliance Non-
Medically Necessary)
4 Not Followed Other (Non-Compliance Other)
5 Emergency Admit to Non-Network Hospital",,,,,,,
2300,2300.HCP15,Exception Code,,,"1 Non-Network Professional Provider in Network
Hospital
2 Emergency Care
3 Services or Specialist not in Network
4 Out-of-Service Area
5 State Mandates
6 Other",,,,,,,
LOOP 2310A - ATTENDING PROVIDER NAME,,,,,,,,,,,,
2310A,NM1,Attending Provider Name,,S,,Generate this loop only if ATTENDING_LAST_NAME has value,,,,,,
2310A,2310A.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,71 Attending Physician,"Hardcode as ""71""",,,,,,
2310A,2310A.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1 Person,"Hardcode as ""1""",,,,,,
2310A,2310A.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,ATTENDING_LAST_NAME,543,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/attendingInformation/practitioner/lastName
2310A,2310A.NM104,Name First,ndividual first name,S,,,ATTENDING_FIRST_NAME,544,Claim,,,"ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/attendingInformation/practitioner/firstName
ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/referringInformation/practitioner/firstName"
2310A,2310A.NM105,Name Middle,Individual middle name or initial,S,,,ATTENDING_MIDDLE_NAME,545,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/attendingInformation/practitioner/middleName
2310A,2310A.NM107,Name Suffix,Suffix to individual name,S,,,ATTENDING_NAME_SUFFIX,546,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/attendingInformation/practitioner/nameSuffix
2310A,2310A.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),S,"XX Centers for Medicare and Medicaid Services
National Provider Identifier","Hardcode as ""XX""",,,,,,
2310A,2310A.NM109,Identification Code,Code identifying a party or other code,S,,,ATTENDING_NPI,538,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/attendingInformation/NPI
2310A,PRV,Provider Information,,S,,,,,,,,
2310A,2310A.PRV01,Provider Code,Code identifying the type of provider,R,AT Attending,"Hardcode as ""AT""",,,,,,
2310A,2310A.PRV02,Reference Identification Qualifier,Code qualifying the Reference Identification,R,PXC Health Care Provider Taxonomy Code,"Hardcode as ""PXC""",,,,,,
2310A,2310A.PRV03,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,ATTENDING_TAXONOMY_CODE,541,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/attendingInformation/primarySpecialty/taxonomyCode
2310A,REF,Attending Provider Secondary Identification,,S,,,,,,,,
2310A,2310A.REF01,Reference Identification Qualifier,,,"0B State License Number
1G Provider UPIN Number
G2 Provider Commercial Number
LU Location Number",,,,,,,
2310A,2310A.REF02,Reference Identification,,,,,,,,,,
LOOP 2310B - OPERATING PHYSICIAN NAME,,,,,,,,,,,,
LOOP 2310B - RENDERING PROVIDER NAME,NM1,Operating Physician Name,,,,,,,,,,
2310B,2310B.NM101,Entity Identifier Code,,,72 Operating Physician,,,,,,,
2310B,2310B.NM102,Entity Type Qualifier,,,1 Person,,,,,,,
2310B,2310B.NM103,Name Last or Organization Name,,,,,,,,,,
2310B,2310B.NM104,Name First,,,,,,,,,,
2310B,2310B.NM105,Name Middle,,,,,,,,,,
2310B,2310B.NM107,Name Suffix,,,,,,,,,,
2310B,2310B.NM108,Identification Code Qualifier,,,"XX Centers for Medicare and Medicaid Services
National Provider Identifier",,,,,,,
2310B,2310B.NM109,Identification Code,,,,,,,,,,
2310B,REF,Operating Physician Secondary Identification,,,,,,,,,,
2310B,2310B.REF01,Reference Identification Qualifier,,,"0B State License Number
1G Provider UPIN Number
G2 Provider Commercial Number
LU Location Number",,,,,,,
2310B,2310B.REF02,Reference Identification,,,,,,,,,,
"LOOP 2310C - OTHER OPERATING PHYSICIAN
NAME",,,,,,,,,,,,
2310C,NM1,Other Operating Physician Name,,S,,Generate this loop if OTHER_OPERATING_LAST_NAME has value.,,,,,,
2310C,2310C.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,ZZ Mutually Defined,"Hardcode as ""ZZ""",,,,,,
2310C,2310C.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1 Person,"Hardcode as ""1""",,,,,,
2310C,2310C.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,OTHER_OPERATING_LAST_NAME,565,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherPractitionerList/practitioner/practitioner/lastName
2310C,2310C.NM104,Name First,Individual first name,R,,,OTHER_OPERATING_FIRST_NAME,566,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherPractitionerList/practitioner/practitioner/firstName
2310C,2310C.NM105,Name Middle,Individual middle name or initial,S,,,OTHER_OPERATING_MIDDLE_NAME,567,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherPractitionerList/practitioner/practitioner/middleName
2310C,2310C.NM107,Name Suffix,Suffix to individual name,S,,,OTHER_OPERATING_NAME_SUFFIX,568,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherPractitionerList/practitioner/practitioner/nameSuffix
2310C,2310C.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),S,XX Centers for Medicare and Medicaid Services National Provider Identifier,"Hardcode as ""XX""",,,,,,
2310C,2310C.NM109,Identification Code,Code identifying a party or other code,S,,,OTHER_OPERATING_NPI,560,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherPractitionerList/practitioner/NPI
2310C,REF,Other Operating Physician Secondary Identification,,,,,,,,,,
2310C,2310C.REF01,Reference Identification Qualifier,,,"0B State License Number
1G Provider UPIN Number
G2 Provider Commercial Number
LU Location Number",,,,,,,
2310C,2310C.REF02,Reference Identification,,,,,,,,,,
LOOP 2310D - RENDERING PROVIDER NAME,,,,,,,,,,,,
2310D,NM1,Rendering Provider Name,,,,,,,,,,
2310D,2310D.NM101,Entity Identifier Code,,,82 Rendering Provider,,,,,,,
2310D,2310D.NM102,Entity Type Qualifier,,,1 Person,,,,,,,
2310D,2310D.NM103,Name Last or Organization Name,,,,,,,,,,
2310D,2310D.NM104,Name First,,,,,,,,,,
2310D,2310D.NM105,Name Middle,,,,,,,,,,
2310D,2310D.NM107,Name Suffix,,,,,,,,,,
2310D,2310D.NM108,Identification Code Qualifier,,,"XX Centers for Medicare and Medicaid Services
National Provider Identifier",,,,,,,
2310D,2310D.NM109,Identification Code,,,,,,,,,,
2310D,REF,Rendering Provider Secondary Identification,,,,,,,,,,
2310D,2310D.REF01,Reference Identification Qualifier,,,"0B State License Number
1G Provider UPIN Number
G2 Provider Commercial Number
LU Location Number",,,,,,,
2310D,2310D.REF02,Reference Identification,,,,,,,,,,
"LOOP 2310E - SERVICE FACILITY LOCATION
NAME",,,,,,,,,,,,
2310E,NM1,Service Facility Location Name,,,,,,,,,,
2310E,2310E.NM101,Entity Identifier Code,,,77 Service Location,,,,,,,
2310E,2310E.NM102,Entity Type Qualifier,,,2 Non-Person Entity,,,,,,,
2310E,2310E.NM103,Name Last or Organization Name,,,,,,,,,,
2310E,2310E.NM108,Identification Code Qualifier,,,"XX Centers for Medicare and Medicaid Services
National Provider Identifier",,,,,,,
2310E,2310E.NM109,Identification Code,,,,,,,,,,
2310E,N3,Service Facility Location Address (Required),,,,,,,,,,
2310E,2310E.N301,Address Information,,,,,,,,,,
2310E,2310E.N302,Address Information,,,,,,,,,,
2310E,N4,"Service Facility Location City, State, ZIP Code (Required)",,,,,,,,,,
2310E,2310E.N401,City Name,,,,,,,,,,
2310E,2310E.N402,State or Province Code,,,,,,,,,,
2310E,2310E.N403,Postal Code,,,,,,,,,,
2310E,2310E.N404,Country Code,,,,,,,,,,
2310E,2310E.N407,Country Subdivision Code,,,,,,,,,,
2310E,REF,Service Facility Location Secondary Identification,,S,,,,,,,,
2310E,2310E.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B State License Number
G2 Provider Commercial Number
LU Location Number",,,,,,,
2310E,2310E.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,,,
LOOP 2310F - REFERRING PROVIDER NAME,,,,,,,,,,,,
2310F,NM1,Referring Provider Name,,S,,,,,,,,
2310F,2310F.NM101,Entity Identifier Code,,,DN Referring Provider,,,,,,,
2310F,2310F.NM102,Entity Type Qualifier,,,1 Person,,,,,,,
2310F,2310F.NM103,Name Last or Organization Name,,,,,,,,,,
2310F,2310F.NM104,Name First,,,,,,,,,,
2310F,2310F.NM105,Name Middle,,,,,,,,,,
2310F,2310F.NM107,Name Suffix,,,,,,,,,,
2310F,2310F.NM108,Identification Code Qualifier,,,"XX Centers for Medicare and Medicaid Services
National Provider Identifier",,,,,,,
2310F,2310F.NM109,Identification Code,,,,,,,,,,
2310F,REF,Referring Provider Secondary Identification,,,,,,,,,,
2310F,2310F.REF01,Reference Identification Qualifier,,,"0B State License Number
1G Provider UPIN Number
G2 Provider Commercial Number",,,,,,,
2310F,2310F.REF02,Reference Identification,,,,,,,,,,
LOOP 2320 - OTHER SUBSCRIBER INFORMATION,,,,,,,,,,,,
2320,SBR,Other Subscriber Information,,S,,,,,,,,
2320,2320.SBR01,Payer Responsibility Sequence Number Code,Code identifying the insurance carrier’s level of responsibility for a payment of a claim,R,"A Payer Responsibility Four
B Payer Responsibility Five
C Payer Responsibility Six
D Payer Responsibility Seven
E Payer Responsibility Eight
F Payer Responsibility Nine
G Payer Responsibility Ten
H Payer Responsibility Eleven
P Primary
S Secondary
T Tertiary
U Unknown",,,,,,,
2320,2320.SBR02,Individual Relationship Code,Code indicating the relationship between two individuals or entities,R,"01 Spouse
18 Self
19 Child
20 Employee
21 Unknown
39 Organ Donor
40 Cadaver Donor
53 Life Partner
G8 Other Relationship",,,,,,,
2320,2320.SBR03,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,S,,,,,,,,
2320,2320.SBR04,Name,Free-form name,S,,,,,,,,
2320,2320.SBR09,Claim Filing Indicator Code,,,"11 Other Non-Federal Programs
12 Preferred Provider Organization (PPO)
13 Point of Service (POS)
14 Exclusive Provider Organization (EPO)
15 Indemnity Insurance
16 Health Maintenance Organization (HMO) Medicare
Risk
17 Dental Maintenance Organization
AM Automobile Medical
BL Blue Cross/Blue Shield
CH Champus
CI Commercial Insurance Co.
DS Disability
FI Federal Employees Program
HM Health Maintenance Organization
LM Liability Medical
MA Medicare Part A
MB Medicare Part B
MC Medicaid
OF Other Federal Program
TV Title V
VA Veterans Affairs Plan
WC Workers’ Compensation Health Claim
ZZ Mutually Defined",,,,,,,
2320,CAS,Claim Level Adjustments,,,,,,,,,,
2320,2320.CAS01,Claim Adjustment Group Code,,,"CO Contractual Obligations
CR Correction and Reversals
OA Other adjustments
PI Payor Initiated Reductions
PR Patient Responsibility",,,,,,,
2320,2320.CAS02,Claim Adjustment Reason Code,,,,,,,,,,
2320,2320.CAS03,Monetary Amount,,,,,,,,,,
2320,2320.CAS04,Quantity,,,,,,,,,,
2320,2320.CAS05,Claim Adjustment Reason Code,,,,,,,,,,
2320,2320.CAS06,Monetary Amount,,,,,,,,,,
2320,2320.CAS07,Quantity,,,,,,,,,,
2320,2320.CAS08,Claim Adjustment Reason Code,,,,,,,,,,
2320,2320.CAS09,Monetary Amount,,,,,,,,,,
2320,2320.CAS10,Quantity,,,,,,,,,,
2320,2320.CAS11,Claim Adjustment Reason Code,,,,,,,,,,
2320,2320.CAS12,Monetary Amount,,,,,,,,,,
2320,2320.CAS13,Quantity,,,,,,,,,,
2320,2320.CAS14,Claim Adjustment Reason Code,,,,,,,,,,
2320,2320.CAS15,Monetary Amount,,,,,,,,,,
2320,2320.CAS16,Quantity,,,,,,,,,,
2320,2320.CAS17,Claim Adjustment Reason Code,,,,,,,,,,
2320,2320.CAS18,Monetary Amount,,,,,,,,,,
2320,2320.CAS19,Quantity,,,,,,,,,,
2320,AMT,Coordination of Benefits (COB) Payer Paid Amount,,S,,,,,,,,
2320,2320.AMT01,Amount Qualifier Code,Code to qualify amount,R,D Payor Amount Paid,,,,,,,
2320,2320.AMT02,Monetary Amount,Monetary amount,R,,,,,,,,
2320,AMT,Remaining Patient Liability,,S,,,,,,,,
2320,2320.AMT01,Amount Qualifier Code,Code to qualify amount,R,EAF Amount Owed,,,,,,,
2320,2320.AMT02,Monetary Amount,,,,,,,,,,
2320,AMT,Coordination of Benefits (COB) Total Non-covered Amount,,,,,,,,,,
2320,2320.AMT01,Amount Qualifier Code,,,A8 Noncovered Charges - Actual,,,,,,,
2320,2320.AMT02,Monetary Amount,,,,,,,,,,
2320,OI,Other Insurance Coverage Information (Required),,R,,,,,,,,
2320,2320.OI03,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,R,"N No
W Not Applicable
Y Yes",,,,,,,
2320,2320.OI06,Release of Information Code,Code indicating whether the provider has on file a signed statement by the patient authorizing the release of medical data to other organizations,R,"I Informed Consent to Release Medical Information
for Conditions or Diagnoses Regulated by Federal
Statutes
Y Yes, Provider has a Signed Statement Permitting
Release of Medical Billing Data Related to a Claim",,,,,,,
2320,MIA,Inpatient Adjudication Information,,,,,,,,,,
2320,2320.MIA01,Quantity,,,,,,,,,,
2320,2320.MIA03,Quantity,,,,,,,,,,
2320,2320.MIA04,Monetary Amount,,,,,,,,,,
2320,2320.MIA05,Reference Identification,,,,,,,,,,
2320,2320.MIA06,Monetary Amount,,,,,,,,,,
2320,2320.MIA07,Monetary Amount,,,,,,,,,,
2320,2320.MIA08,Monetary Amount,,,,,,,,,,
2320,2320.MIA09,Monetary Amount,,,,,,,,,,
2320,2320.MIA10,Monetary Amount,,,,,,,,,,
2320,2320.MIA11,Monetary Amount,,,,,,,,,,
2320,2320.MIA12,Monetary Amount,,,,,,,,,,
2320,2320.MIA13,Monetary Amount,,,,,,,,,,
2320,2320.MIA14,Monetary Amount,,,,,,,,,,
2320,2320.MIA15,Quantity,,,,,,,,,,
2320,2320.MIA16,Monetary Amount,,,,,,,,,,
2320,2320.MIA17,Monetary Amount,,,,,,,,,,
2320,2320.MIA18,Monetary Amount,,,,,,,,,,
2320,2320.MIA19,Monetary Amount,,,,,,,,,,
2320,2320.MIA20,Reference Identification,,,,,,,,,,
2320,2320.MIA21,Reference Identification,,,,,,,,,,
2320,2320.MIA22,Reference Identification,,,,,,,,,,
2320,2320.MIA23,Reference Identification,,,,,,,,,,
2320,2320.MIA24,Monetary Amount,,,,,,,,,,
2320,MOA,Outpatient Adjudication Information,,,,,,,,,,
2320,2320.MOA01,Percentage as Decimal,,,,,,,,,,
2320,2320.MOA02,Monetary Amount,,,,,,,,,,
2320,2320.MOA03,Reference Identification,,,,,,,,,,
2320,2320.MOA04,Reference Identification,,,,,,,,,,
2320,2320.MOA05,Reference Identification,,,,,,,,,,
2320,2320.MOA06,Reference Identification,,,,,,,,,,
2320,2320.MOA07,Reference Identification,,,,,,,,,,
2320,2320.MOA08,Monetary Amount,,,,,,,,,,
2320,2320.MOA09,Monetary Amount,,,,,,,,,,
LOOP 2330A - OTHER SUBSCRIBER NAME,,,,,,,,,,,,
2330A,NM1,Other Subscriber Name (Required),,R,,,,,,,,
2330A,2330A.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,IL Insured or Subscriber,,,,,,,
2330A,2330A.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 Person
2 Non-Person Entity",,,,,,,
2330A,2330A.NM103,Name Last or Organization Name,Individual last name or organizational name,S,,,,,,,,
2330A,2330A.NM104,Name First,Individual first name,S,,,,,,,,
2330A,2330A.NM105,Name Middle,Individual middle name or initia,S,,,,,,,,
2330A,2330A.NM107,Name Suffix,Suffix to individual name,S,,,,,,,,
2330A,2330A.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),R,"II Standard Unique Health Identifier for each Individual
in the United States
MI Member Identification Number",,,,,,,
2330A,2330A.NM109,Identification Code,Code designating the system/method of code structure used for Identification Code (67),R,,,,,,,,
2330A,N3,Other Subscriber Address,,S,,,,,,,,
2330A,2330A.N301,Address Information,Address information,R,,,,,,,,
2330A,2330A.N302,Address Information,Address information,S,,,,,,,,
2330A,N4,Other Subscriber City/State/ZIP Code,,R,,,,,,,,
2330A,2330A.N401,City Name,Free-form text for city name,R,,,,,,,,
2330A,2330A.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,,,,
2330A,2330A.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,,,,
2330A,2330A.N404,Country Code,Code identifying the country,S,,,,,,,,
2330A,2330A.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,,,
2330A,REF,Other Subscriber Secondary Information,,,,,,,,,,
2330A,2330A.REF01,Reference Identification Qualifier,,,SY Social Security Number,,,,,,,
2330A,2330A.REF02,Reference Identification,,,,,,,,,,
LOOP 2330B - OTHER PAYER NAME,,,,,,,,,,,,
2330B,NM1,Other Payer Name (Required),,R,,,,,,,,
2330B,2330B.NM101,Entity Identifier Code,,R,PR Payer,,,,,,,
2330B,2330B.NM102,Entity Type Qualifier,,R,2 Non-Person Entity,,,,,,,
2330B,2330B.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,,,,
2330B,2330B.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),R,"PI Payor Identification
XV Centers for Medicare and Medicaid Services PlanID",,,,,,,
2330B,2330B.NM109,Identification Code,Code identifying a party or other code,R,,,,,,,,
2330B,N3,Other Payer Address,,S,,,,,,,,
2330B,2330B.N301,Address Information,Address information,R,,,,,,,,
2330B,2330B.N302,Address Information,Address information,S,,,,,,,,
2330B,N4,Other Payer City/State/ZIP Code,,R,,,,,,,,
2330B,2330B.N401,City Name,Free-form text for city name,R,,,,,,,,
2330B,2330B.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,,,,
2330B,2330B.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,,,,
2330B,2330B.N404,Country Code,Code identifying the country,S,,,,,,,,
2330B,2330B.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,,,
2330B,DTP,Claim Check or Remittance Date,,,,,,,,,,
2330B,2330B.DTP01,Date/Time Qualifier,,,573 Date Claim Paid,,,,,,,
2330B,2330B.DTP02,Date Time Period Format Qualifier,,,D8 Date Expressed in Format CCYYMMDD,,,,,,,
2330B,2330B.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,,,
2330B,REF,Other Payer Secondary Identifier,,,,,,,,,,
2330B,2330B.REF01,Reference Identification Qualifier,,,"2U Payer Identification Number
EI Employer’s Identification Number
FY Claim Office Number
NF National Association of Insurance Commissioners
(NAIC) Code",,,,,,,
2330B,2330B.REF02,Reference Identification,,,,,,,,,,
2330B,REF,Other Payer Prior Authorization Number,,S,,,,,,,,
2330B,2330B.REF01,Reference Identification Qualifier,,R,G1 Prior Authorization Number,,,,,,,
2330B,2330B.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,,,
2330B,REF,Other Payer Referral Number,,,,,,,,,,
2330B,2330B.REF01,Reference Identification Qualifier,,,9F Referral Number,,,,,,,
2330B,2330B.REF02,Reference Identification,,,,,,,,,,
2330B,REF,Other Payer Claim Adjustment Indicator,,,,,,,,,,
2330B,2330B.REF01,Reference Identification Qualifier,,,T4 Signal Code,,,,,,,
2330B,2330B.REF02,Reference Identification,,,,,,,,,,
2330B,REF,Other Payer Claim Control Number,,S,,,,,,,,
2330B,2330B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,F8 Original Reference Number,,,,,,,
2330B,2330B.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,,,
"LOOP 2330C - OTHER PAYER ATTENDING
PROVIDER",,,,,,,,,,,,
2330C,NM1,Other Payer Attending Provider,,S,,,,,,,,
2330C,2330C.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,71 Attending Physician,,,,,,,
2330C,2330C.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1 Person,,,,,,,
2330C,REF,Other Payer Attending Provider Secondary Identification (Required),,,,,,,,,,
2330C,2330C.REF01,Reference Identification Qualifier,,,"0B State License Number
1G Provider UPIN Number
G2 Provider Commercial Number
LU Location Number",,,,,,,
2330C,2330C.REF02,Reference Identification,,,,,,,,,,
"LOOP 2330D - OTHER PAYER OPERATING
PHYSICIAN",,,,,,,,,,,,
2330D,NM1,Other Payer Operating Physician,,,,,,,,,,
2330D,2330D.NM101,Entity Identifier Code,,,72 Operating Physician,,,,,,,
2330D,2330D.NM102,Entity Type Qualifier,,,1 Person,,,,,,,
2330D,REF,Other Payer Operating Physician Secondary Identification (Required),,,,,,,,,,
2330D,2330D.REF01,Reference Identification Qualifier,,,"0B State License Number
1G Provider UPIN Number
G2 Provider Commercial Number
LU Location Number",,,,,,,
2330D,2330D.REF02,Reference Identification,,,,,,,,,,
"LOOP 2330E - OTHER PAYER OTHER OPERATING
PHYSICIAN",,,,,,,,,,,,
2330E,NM1,Other Payer Other Operating Physician,,,,,,,,,,
2330E,2330E.NM101,Entity Identifier Code,,,ZZ Mutually Defined,,,,,,,
2330E,2330E.NM102,Entity Type Qualifier,,,1 Person,,,,,,,
2330E,REF,Other Payer Other Operating Physician Secondary Identification (Required),,,,,,,,,,
