Loop ID,EDI Segment,EDI Data Element Name,EDI Element Description,USAGE,Enumeration Values,CDS Field Name / Hardcode,Extract layout name,Position,Level,Mapping Logic,Cuztomization,Comments,PIEDMONT,
2310A,2310A.NM109,Identification Code,Code identifying a party or other code,S,,REFERRING_NPI,REFERRING_NPI,283,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/referringInformation/NPI,
2310A,REF,Referring Provider Secondary Identification,,,,,,,,,,,,
2310A,2310A.REF01,Reference Identification Qualifier,,,"0B State License Number
1G Provider UPIN Number
G2 Provider Commercial Number",,,,,,,,,
2310A,2310A.REF02,Reference Identification,,,,,,,,,,,,
LOOP 2310B - RENDERING PROVIDER NAME,,,,,,,,,,,,,,
2310B,NM1,Rendering Provider Name,,S,,,,,,,,,,
2310B,2310B.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,82 Rendering Provider,"Hardcode as ""82""",82,,,,,,,
2310B,2310B.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 Person
2 Non-Person Entity","Hardcode as ""1""",,,,,,,,
2310B,2310B.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,,If 2420A loop not exist,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/practitioner/lastName,need to add logic in header and go head with line level
2310B,2310B.NM104,Name First,Individual first name,S,,,,,,If 2420A loop not exist,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/practitioner/firstName,
2310B,2310B.NM105,Name Middle,Individual middle name or initia,S,,,,,,If 2420A loop not exist,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/practitioner/middleName,
2310B,2310B.NM107,Name Suffix,Suffix to individual name,S,,,,,,If 2420A loop not exist,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/practitioner/nameSuffix,
2310B,2310B.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),S,XX Centers for Medicare and Medicaid Services National Provider Identifier,"Hardcode as ""XX""",,,,,,,"Always Equals 'XX""",
2310B,2310B.NM109,Identification Code,Code identifying a party or other code,S,,,,,,if  Loop 2420A does not exist,,No claim level Redndering provider info available in HRP hence go with line level,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/NPI,
2310B,PRV,Rendering Provider Specialty Information,,S,,,,,,,,,,
2310B,2310B.PRV01,Provider Code,Code identifying the type of provider,R,PE Performing,"Hardcode as ""PE""",PE,,,,,,,
2310B,2310B.PRV02,Reference Identification Qualifier,Code qualifying the Reference Identification,R,PXC Health Care Provider Taxonomy Code,"Hardcode as ""PXC""",,,,,,,,
2310B,2310B.PRV03,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,if  Loop 2420A does not exist,,No claim level Redndering provider info available in HRP hence go with line level,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/primarySpecialty/taxonomyCode,
2310B,REF,Rendering Provider Secondary Identification,,,,,,,,,,,,
2310B,2310B.REF01,Reference Identification Qualifier,,,"0B State License Number
1G Provider UPIN Number
G2 Provider Commercial Number
LU Location Number",,,,,,,,,
2310B,2310B.REF02,Reference Identification,,,,,,,,,,,,
"LOOP 2310C - SERVICE FACILITY LOCATION
NAME",,,,,,,,,,,,,,
2310C,NM1,Service Facility Location Name,,S,,,,,,,,,,
2310C,2310C.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,77 Service Location,"Hardcode as ""77""",,,,,,,,
2310C,2310C.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 Non-Person Entity,"Hardcode as ""2""",,,,,,,,
2310C,2310C.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,Rendering_Facility_ Name,Rendering_Facility_ Name,507,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/renderingFacility/facilityName,
2310C,2310C.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),S,"XX Centers for Medicare and Medicaid Services
National Provider Identifier","Hardcode as ""XX""",,,,,,,,
2310C,2310C.NM109,Identification Code,Code identifying a party or other code,S,,Rendering_Facility_ NPI,Rendering_Facility_ NPI,508,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/renderingFacility/npi,
2310C,N3,Service Facility Location Address (Required),,R,,,,,,,,,,
2310C,2310C.N301,Address Information,Address information,R,,Rendering_Facility_ Address_1,Rendering_Facility_ Address_01,509,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/renderingFacility/address/address,
2310C,2310C.N302,Address Information,Address information,S,,Rendering_Facility_ Address_2,Rendering_Facility_ Address_02,510,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/renderingFacility/address/address2,
2310C,N4,"Service Facility Location City, State, ZIP Code (Required)",,R,,,,,,,,,,
2310C,2310C.N401,City Name,Free-form text for city name,R,,Rendering_Facility_ Address_City,Rendering_Facility_ Address_City,511,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/renderingFacility/address/city,
2310C,2310C.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,Rendering_Facility_ Address_State,Rendering_Facility_ Address_State,512,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/renderingFacility/address/stateCode,
2310C,2310C.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,Rendering_Facility_ Address_Zip + Rendering_Facility_ Addres_ZIP_PLUS_4,Rendering_Facility_ Address_Zip + Rendering_Facility_ Addres_ZIP_PLUS_Four,513,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/renderingFacility/address/zipCode + ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/renderingFacility/address/zipExtension,
2310C,2310C.N404,Country Code,Code identifying the country,S,,Leave it blank,,514,Claim,,,"I checked in OB Payment. Seems Country Code is not displaying in EDI. As we do not have any logic with Country Code and we are blocked with this issue (Snip Validation Error while translating with the Value as US), we can remove the Country Code mapping",ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/renderingFacility/address/countryCode,
2310C,2310C.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,,,,,
2310C,REF,Service Facility Location Secondary Identification,,,,,,,,,,,,
2310C,2310C.REF01,Reference Identification Qualifier,,,"0B State License Number
G2 Provider Commercial Number
LU Location Number",,,,,,,,,
2310C,2310C.REF02,Reference Identification,,,,,,,,,,,,
2310C,PER,Service Facility Contact Information,,,,,,,,,,,,
2310C,2310C.PER01,Contact Function Code,,,IC Information Contact,,,,,,,,,
2310C,2310C.PER02,Name,,,,,,,,,,,,
2310C,2310C.PER03,Communication Number Qualifier,,,TE Telephone,,,,,,,,,
2310C,2310C.PER04,Communication Number,,,,,,,,,,,,
2310C,2310C.PER05,Communication Number Qualifier,,,EX Telephone Extension,,,,,,,,,
2310C,2310C.PER06,Communication Number,,,,,,,,,,,,
LOOP 2310D - SUPERVISING PROVIDER NAME,,,,,,,,,,,,,,
2310D,NM1,Supervising Provider Name,,,,,,,,,,,,
2310D,2310D.NM101,Entity Identifier Code,,,DQ Supervising Physician,,,,,,,,,
2310D,2310D.NM102,Entity Type Qualifier,,,1 Person,,,,,,,,,
2310D,2310D.NM103,Name Last or Organization Name,,,,,,,,,,,,
2310D,2310D.NM104,Name First,,,,,,,,,,,,
2310D,2310D.NM105,Name Middle,,,,,,,,,,,,
2310D,2310D.NM107,Name Suffix,,,,,,,,,,,,
2310D,2310D.NM108,Identification Code Qualifier,,,"XX Centers for Medicare and Medicaid Services
National Provider Identifier",,,,,,,,,
2310D,2310D.NM109,Identification Code,,,,,,,,,,,,
2310D,REF,Supervising Provider Secondary Identification,,,,,,,,,,,,
2310D,2310D.REF01,Reference Identification Qualifier,,,"0B State License Number
1G Provider UPIN Number
G2 Provider Commercial Number
LU Location Number",,,,,,,,,
2310D,2310D.REF02,Reference Identification,,,,,,,,,,,,
LOOP 2310E - AMBULANCE PICK-UP LOCATION,,,,,,,,,,,,,,
2310E,NM1,Ambulance Pick-up Location,,,,,,,,,,,,
2310E,2310E.NM101,Entity Identifier Code,,,PW Pickup Address,,,,,,,,,
2310E,2310E.NM102,Entity Type Qualifier,,,2 Non-Person Entity,,,,,,,,,
2310E,N3,Ambulance Pick-up Location Address (Required),,,,,,,,,,,,
2310E,2310E.N301,Address Information,,,,,,,,,,,,
2310E,2310E.N302,Address Information,,,,,,,,,,,,
2310E,N4,"Ambulance Pick-up Location City, State, ZIP Code (Required)",,,,,,,,,,,,
2310E,2310E.N401,City Name,,,,,,,,,,,,
2310E,2310E.N402,State or Province Code,,,,,,,,,,,,
2310E,2310E.N403,Postal Code,,,,,,,,,,,,
2310E,2310E.N404,Country Code,,,,,,,,,,,,
2310E,2310E.N407,Country Subdivision Code,,,,,,,,,,,,
LOOP 2310F - AMBULANCE DROP-OFF LOCATION,,,,,,,,,,,,,,
2310F,NM1,Ambulance Drop-off Location,,,,,,,,,,,,
2310F,2310F.NM101,Entity Identifier Code,,,45 Drop-off Location,,,,,,,,,
2310F,2310F.NM102,Entity Type Qualifier,,,2 Non-Person Entity,,,,,,,,,
2310F,2310F.NM103,Name Last or Organization Name,,,,,,,,,,,,
2310F,N3,Ambulance Drop-off Location Address (Required),,,,,,,,,,,,
2310F,2310F.N301,Address Information,,,,,,,,,,,,
2310F,2310F.N302,Address Information,,,,,,,,,,,,
2310F,N4,"Ambulance Drop-off Location City, State, ZIP Code (Required)",,,,,,,,,,,,
2310F,2310F.N401,City Name,,,,,,,,,,,,
2310F,2310F.N402,State or Province Code,,,,,,,,,,,,
2310F,2310F.N403,Postal Code,,,,,,,,,,,,
2310F,2310F.N404,Country Code,,,,,,,,,,,,
2310F,2310F.N407,Country Subdivision Code,,,,,,,,,,,,
LOOP 2320 - OTHER SUBSCRIBER INFORMATION,,,,,,,,,,,,,,
2320,SBR,Other Subscriber Information,,,,,,,,,,,,
2320,2320.SBR01,Payer Responsibility Sequence Number Code,,,"A Payer Responsibility Four
B Payer Responsibility Five
C Payer Responsibility Six
D Payer Responsibility Seven
E Payer Responsibility Eight
F Payer Responsibility Nine
G Payer Responsibility Ten
H Payer Responsibility Eleven
P Primary
S Secondary
T Tertiary
U Unknown",,,,,,,,,
2320,2320.SBR02,Individual Relationship Code,,,"01 Spouse
18 Self
19 Child
20 Employee
21 Unknown
39 Organ Donor
40 Cadaver Donor
53 Life Partner
G8 Other Relationship",,,,,,,,,
2320,2320.SBR03,Reference Identification,,,,,,,,,,,,
2320,2320.SBR04,Name,,,,,,,,,,,,
2320,2320.SBR05,Insurance Type Code,,,"12 Medicare Secondary Working Aged Beneficiary or
Spouse with Employer Group Health Plan
13 Medicare Secondary End-Stage Renal Disease
Beneficiary in the Mandated Coordination Period
with an Employer’s Group Health Plan
14 Medicare Secondary, No-fault Insurance including
Auto is Primary
15 Medicare Secondary Worker’s Compensation
16 Medicare Secondary Public Health Service (PHS)or
Other Federal Agency
41 Medicare Secondary Black Lung
42 Medicare Secondary Veteran’s Administration
43 Medicare Secondary Disabled Beneficiary Under
Age 65 with Large Group Health Plan (LGHP)
47 Medicare Secondary, Other Liability Insurance is
Primary",,,,,,,,,
2320,2320.SBR09,Claim Filing Indicator Code,,,"11 Other Non-Federal Programs
12 Preferred Provider Organization (PPO)
13 Point of Service (POS)
14 Exclusive Provider Organization (EPO)
15 Indemnity Insurance
16 Health Maintenance Organization (HMO) Medicare
Risk
17 Dental Maintenance Organization
AM Automobile Medical
BL Blue Cross/Blue Shield
CH Champus
CI Commercial Insurance Co.
DS Disability
FI Federal Employees Program
HM Health Maintenance Organization
LM Liability Medical
MA Medicare Part A
MB Medicare Part B
MC Medicaid
OF Other Federal Program
TV Title V
VA Veterans Affairs Plan
WC Workers’ Compensation Health Claim
ZZ Mutually Defined",,,,,,,,,
2320,CAS,Claim Level Adjustments,,,,,,,,,,,,
2320,2320.CAS01,Claim Adjustment Group Code,,,"CO Contractual Obligations
CR Correction and Reversals
OA Other adjustments
PI Payor Initiated Reductions
PR Patient Responsibility",,,,,,,,,
2320,2320.CAS02,Claim Adjustment Reason Code,,,,,,,,,,,,
2320,2320.CAS03,Monetary Amount,,,,,,,,,,,,
2320,2320.CAS04,Quantity,,,,,,,,,,,,
2320,2320.CAS05,Claim Adjustment Reason Code,,,,,,,,,,,,
2320,2320.CAS06,Monetary Amount,,,,,,,,,,,,
2320,2320.CAS07,Quantity,,,,,,,,,,,,
2320,2320.CAS08,Claim Adjustment Reason Code,,,,,,,,,,,,
2320,2320.CAS09,Monetary Amount,,,,,,,,,,,,
2320,2320.CAS10,Quantity,,,,,,,,,,,,
2320,2320.CAS11,Claim Adjustment Reason Code,,,,,,,,,,,,
2320,2320.CAS12,Monetary Amount,,,,,,,,,,,,
2320,2320.CAS13,Quantity,,,,,,,,,,,,
2320,2320.CAS14,Claim Adjustment Reason Code,,,,,,,,,,,,
2320,2320.CAS15,Monetary Amount,,,,,,,,,,,,
2320,2320.CAS16,Quantity,,,,,,,,,,,,
2320,2320.CAS17,Claim Adjustment Reason Code,,,,,,,,,,,,
2320,2320.CAS18,Monetary Amount,,,,,,,,,,,,
2320,2320.CAS19,Quantity,,,,,,,,,,,,
2320,AMT,Coordination of Benefits (COB) Payer Paid Amount,,,,,,,,,,,,
2320,2320.AMT01,Amount Qualifier Code,,,D Payor Amount Paid,,,,,,,,,
2320,2320.AMT02,Monetary Amount,,,,,,,,,,,,
2320,AMT,Coordination of Benefits (COB) Total Non-Covered Amount,,,,,,,,,,,,
2320,2320.AMT01,Amount Qualifier Code,,,A8 Noncovered Charges - Actual,,,,,,,,,
2320,2320.AMT02,Monetary Amount,,,,,,,,,,,,
2320,AMT,Remaining Patient Liability,,,,,,,,,,,,
2320,2320.AMT01,Amount Qualifier Code,,,EAF Amount Owed,,,,,,,,,
2320,2320.AMT02,Monetary Amount,,,,,,,,,,,,
2320,OI,Other Insurance Coverage Information (Required),,,,,,,,,,,,
2320,2320.OI03,Yes/No Condition or Response Code,,,"N No
W Not Applicable
Y Yes",,,,,,,,,
2320,2320.OI04,Patient Signature Source Code,,,"P Signature generated by provider because the patient
was not physically present for services",,,,,,,,,
2320,2320.OI06,Release of Information Code,,,"I Informed Consent to Release Medical Information
for Conditions or Diagnoses Regulated by Federal
Statutes
Y Yes, Provider has a Signed Statement Permitting
Release of Medical Billing Data Related to a Claim",,,,,,,,,
2320,MOA,Outpatient Adjudication Information,,,,,,,,,,,,
2320,2320.MOA01,Percentage as Decimal,,,,,,,,,,,,
2320,2320.MOA02,Monetary Amount,,,,,,,,,,,,
2320,2320.MOA03,Reference Identification,,,,,,,,,,,,
2320,2320.MOA04,Reference Identification,,,,,,,,,,,,
2320,2320.MOA05,Reference Identification,,,,,,,,,,,,
2320,2320.MOA06,Reference Identification,,,,,,,,,,,,
2320,2320.MOA07,Reference Identification,,,,,,,,,,,,
2320,2320.MOA08,Monetary Amount,,,,,,,,,,,,
2320,2320.MOA09,Monetary Amount,,,,,,,,,,,,
LOOP 2330A - OTHER SUBSCRIBER NAME,,,,,,,,,,,,,,
2330A,NM1,Other Subscriber Name (Required),,,,,,,,,,,,
2330A,2330A.NM101,Entity Identifier Code,,,IL Insured or Subscriber,,,,,,,,,
2330A,2330A.NM102,Entity Type Qualifier,,,"1 Person
2 Non-Person Entity",,,,,,,,,
2330A,2330A.NM103,Name Last or Organization Name,,,,,,,,,,,,
2330A,2330A.NM104,Name First,,,,,,,,,,,,
2330A,2330A.NM105,Name Middle,,,,,,,,,,,,
2330A,2330A.NM107,Name Suffix,,,,,,,,,,,,
2330A,2330A.NM108,Identification Code Qualifier,,,"II Standard Unique Health Identifier for each Individual
in the United States
MI Member Identification Number",,,,,,,,,
2330A,2330A.NM109,Identification Code,,,,,,,,,,,,
2330A,N3,Other Subscriber Address,,,,,,,,,,,,
2330A,2330A.N301,Address Information,,,,,,,,,,,,
2330A,2330A.N302,Address Information,,,,,,,,,,,,
2330A,N4,"Other Subscriber City, State, ZIP Code",,,,,,,,,,,,
2330A,2330A.N401,City Name,,,,,,,,,,,,
2330A,2330A.N402,State or Province Code,,,,,,,,,,,,
2330A,2330A.N403,Postal Code,,,,,,,,,,,,
2330A,2330A.N404,Country Code,,,,,,,,,,,,
2330A,2330A.N407,Country Subdivision Code,,,,,,,,,,,,
2330A,REF,Subscriber Secondary Identification,,,,,,,,,,,,
2330A,2330A.REF01,Reference Identification Qualifier,,,SY Social Security Number,,,,,,,,,
2330A,2330A.REF02,Reference Identification,,,,,,,,,,,,
LOOP 2330B - OTHER PAYER NAME,,,,,,,,,,,,,,
2330B,NM1,Other Payer Name (Required),,,,,,,,,,,,
2330B,2330B.NM101,Entity Identifier Code,,,PR Payer,,,,,,,,,
2330B,2330B.NM102,Entity Type Qualifier,,,2 Non-Person Entity,,,,,,,,,
2330B,2330B.NM103,Name Last or Organization Name,,,,,,,,,,,,
2330B,2330B.NM108,Identification Code Qualifier,,,"PI Payor Identification
XV Centers for Medicare and Medicaid Services PlanID",,,,,,,,,
2330B,2330B.NM109,Identification Code,,,,,,,,,,,,
2330B,N3,Other Payer Address,,,,,,,,,,,,
2330B,2330B.N301,Address Information,,,,,,,,,,,,
2330B,2330B.N302,Address Information,,,,,,,,,,,,
2330B,N4,"Other Payer City, State, ZIP Code",,,,,,,,,,,,
2330B,2330B.N401,City Name,,,,,,,,,,,,
2330B,2330B.N402,State or Province Code,,,,,,,,,,,,
2330B,2330B.N403,Postal Code,,,,,,,,,,,,
2330B,2330B.N404,Country Code,,,,,,,,,,,,
2330B,2330B.N407,Country Subdivision Code,,,,,,,,,,,,
2330B,DTP,Claim Check or Remittance Date,,,,,,,,,,,,
2330B,2330B.DTP01,Date/Time Qualifier,,,573 Date Claim Paid,,,,,,,,,
2330B,2330B.DTP02,Date Time Period Format Qualifier,,,D8 Date Expressed in Format CCYYMMDD,,,,,,,,,
2330B,2330B.DTP03,Date Time Period,,,,,,,,,,,,
2330B,REF,Other Payer Secondary Identifier,,,,,,,,,,,,
2330B,2330B.REF01,Reference Identification Qualifier,,,"2U Payer Identification Number
EI Employer’s Identification Number
FY Claim Office Number
NF National Association of Insurance Commissioners
(NAIC) Code",,,,,,,,,
2330B,2330B.REF02,Reference Identification,,,,,,,,,,,,
2330B,REF,Other Payer Prior Authorization Number,,,,,,,,,,,,
2330B,2330B.REF01,Reference Identification Qualifier,,,G1 Prior Authorization Number,,,,,,,,,
2330B,2330B.REF02,Reference Identification,,,,,,,,,,,,
2330B,REF,Other Payer Referral Number,,,,,,,,,,,,
2330B,2330B.REF01,Reference Identification Qualifier,,,9F Referral Number,,,,,,,,,
2330B,2330B.REF02,Reference Identification,,,,,,,,,,,,
2330B,REF,Other Payer Claim Adjustment Indicator,,,,,,,,,,,,
2330B,2330B.REF01,Reference Identification Qualifier,,,T4 Signal Code,,,,,,,,,
2330B,2330B.REF02,Reference Identification,,,,,,,,,,,,
2330B,REF,Other Payer Claim Control Number,,,,,,,,,,,,
2330B,2330B.REF01,Reference Identification Qualifier,,,F8 Original Reference Number,,,,,,,,,
2330B,2330B.REF02,Reference Identification,,,,,,,,,,,,
"LOOP 2330C - OTHER PAYER REFERRING
PROVIDER",,,,,,,,,,,,,,
2330C,NM1,Other Payer Referring Provider,,,,,,,,,,,,
2330C,2330C.NM101,Entity Identifier Code,,,"DN Referring Provider
P3 Primary Care Provider",,,,,,,,,
2330C,2330C.NM102,Entity Type Qualifier,,,1 Person,,,,,,,,,
2330C,REF,Other Payer Referring Provider Secondary Identification (Required),,,,,,,,,,,,
2330C,2330C.REF01,Reference Identification Qualifier,,,"0B State License Number
1G Provider UPIN Number
G2 Provider Commercial Number",,,,,,,,,
2330C,2330C.REF02,Reference Identification,,,,,,,,,,,,
"LOOP 2330D - OTHER PAYER RENDERING
PROVIDER",,,,,,,,,,,,,,
2330D,NM1,Other Payer Rendering Provider,,,,,,,,,,,,
2330D,2330D.NM101,Entity Identifier Code,,,82 Rendering Provider,,,,,,,,,
2330D,2330D.NM102,Entity Type Qualifier,,,"1 Person
2 Non-Person Entity",,,,,,,,,
2330D,REF,Other Payer Rendering Provider Secondary Identification (Required),,,,,,,,,,,,
2330D,2330D.REF01,Reference Identification Qualifier,,,"0B State License Number
1G Provider UPIN Number
G2 Provider Commercial Number
LU Location Number",,,,,,,,,
2330D,2330D.REF02,Reference Identification,,,,,,,,,,,,
"LOOP 2330E - OTHER PAYER SERVICE FACILITY
LOCATION",,,,,,,,,,,,,,
2330E,NM1,Other Payer Service Facility Location,,,,,,,,,,,,
2330E,2330E.NM101,Entity Identifier Code,,,77 Service Location,,,,,,,,,
2330E,2330E.NM102,Entity Type Qualifier,,,2 Non-Person Entity,,,,,,,,,
2330E,REF,Other Payer Service Facility Location Secondary Identification (Required),,,,,,,,,,,,
2330E,2330E.REF01,Reference Identification Qualifier,,,"0B State License Number
G2 Provider Commercial Number
LU Location Number",,,,,,,,,
2330E,2330E.REF02,Reference Identification,,,,,,,,,,,,
"LOOP 2330F - OTHER PAYER SUPERVISING
PROVIDER",,,,,,,,,,,,,,
2330F,NM1,Other Payer Supervising Provider,,,,,,,,,,,,
2330F,2330F.NM101,Entity Identifier Code,,,DQ Supervising Physician,,,,,,,,,
2330F,2330F.NM102,Entity Type Qualifier,,,1 Person,,,,,,,,,
2330F,REF,Other Payer Supervising Provider Secondary Identification (Required),,,,,,,,,,,,
2330F,2330F.REF01,Reference Identification Qualifier,,,"0B State License Number
1G Provider UPIN Number
G2 Provider Commercial Number
LU Location Number",,,,,,,,,
2330F,2330F.REF02,Reference Identification,,,,,,,,,,,,
LOOP 2330G - OTHER PAYER BILLING PROVIDER,,,,,,,,,,,,,,
2330G,NM1,Other Payer Billing Provider,,,,,,,,,,,,
2330G,2330G.NM101,Entity Identifier Code,,,85 Billing Provider,,,,,,,,,
2330G,2330G.NM102,Entity Type Qualifier,,,"1 Person
2 Non-Person Entity",,,,,,,,,
2330G,REF,Other Payer Billing Provider Secondary Identification (Required),,,,,,,,,,,,
2330G,2330G.REF01,Reference Identification Qualifier,,,"G2 Provider Commercial Number
LU Location Number",,,,,,,,,
2330G,2330G.REF02,Reference Identification,,,,,,,,,,,,
LOOP 2400 - SERVICE LINE NUMBER,,,,,,,,,,,,,,
2400,LX,Service Line Number (Required),,R,,,,,,,,,,
2400,2400.LX01,Assigned Number,Number assigned for differentiation within a transaction set,R,,LINE_SEQ,LINE_SEQ,141,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/claimLineId,
2400,SV1,Professional Service (Required),,,,,,,,,,,,
2400,2400.SV101.01,Product/Service ID Qualifier,Code identifying the type/source of the descriptive number used in Product/Service ID (234),R,"ER Jurisdiction Specific Procedure and Supply Codes
HC Health Care Financing Administration Common
Procedural Coding System (HCPCS) Codes
IV Home Infusion EDI Coalition (HIEC) Product/Service
Code
WK Advanced Billing Concepts (ABC) Codes","Hardcode as ""HC""",,,,,,,,
2400,2400.SV101.02,Product/Service ID,Identifying number for a product or service,R,,SUB_HCPCS,SUB_HCPCS,158,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/serviceCode,
