EDILoopID. Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Hard Code / Default Value,XML Field,Mapping Logic/ Comments,
2400.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,EW : Mammography Certification Number,,,,
2400.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
REF,Segment - REF Clinical Laboratory Improvement Amendment (CLIA) Number (Situational),,,,,,,
2400.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"X4 : Clinical Laboratory Improvement Amendment
Number",,,,
2400.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
REF,Segment - REF Immunization Batch Number (Situational),,,,,,,
2400.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,BT : Batch Number,,,,
2400.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
REF,Segment - REF Referral Number (Situational),,,,,,,
2400.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9F  :Referral Number,,,,
2400.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
2400.REF04.01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,2U : Payer Identification Number,,,,
2400.REF04.02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
AMT,Segment - AMT Sales Tax Amount (Situational),,,,,,,
2400.AMT01,Amount Qualifier Code,Code to qualify amount,R,T :Tax,,,,
2400.AMT02,Monetary Amount,Monetary Amount,R,,,,,
AMT,Segment - AMT Postage Claimed Amount (Situational),,,,,,,
2400.AMT01,Amount Qualifier Code,Code to qualify amount,R,F4 : Postage Claimed,,,,
2400.AMT02,Monetary Amount,Monetary Amount,R,,,,,
K3,Segment - K3 File Information (Situational),,,,,,,
2400.K301,Fixed Format Information,Data in fixed format agreed upon by sender and receiver,R,,,,,
NTE,Segment - NTE Line Note (Situational),,,,,,,
2400.NTE01,Note Reference Code,Code identifying the functional area or purpose for which the note applies,R,"ADD :Additional Information
DCP: Goals, Rehabilitation Potential, or Discharge Plans",,,,
2400.NTE02,Description,A free-form description to clarify the related data elements and their content,R,,,,,
NTE,Segment - NTE Third Party Organization Notes (Situational),,,,,,,
2400.NTE01,Note Reference Code,Code identifying the functional area or purpose for which the note applies,R,TPO : Third Party Organization Notes,,,,
2400.NTE02,Description,A free-form description to clarify the related data elements and their content,R,,,,,
PS1,Segment - PS1 Purchased Service Information (Situational),,,,,,,
2400.PS101,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,
2400.PS102,Monetary Amount,Monetary Amount,R,,,,,
HCP,Segment - HCP Line Pricing/Repricing Information (Situational),,,,,,,
2400.HCP01,Pricing Methodology,"Code specifying pricing methodology at which the claim or line item has been
priced or repriced",R,"00: Zero Pricing (Not Covered Under Contract)
01: Priced as Billed at 100%
02 :Priced at the Standard Fee Schedule
03 :Priced at a Contractual Percentage
04 : Bundled Pricing
05 : Peer Review Pricing
06 : Per Diem Pricing
07 : Flat Rate Pricing
08  :Combination Pricing
09 : Maternity Pricing
10 : Other Pricing
11 : Lower of Cost
12 : Ratio of Cost
13 : Cost Reimbursed
14 : Adjustment Pricing",,,,
2400.HCP02,Monetary Amount,Monetary Amount,R,,,,,
2400.HCP03,Monetary Amount,Monetary Amount,S,,,,,
2400.HCP04,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifie /Repricing Organization Identifier",S,,,,,
2400.HCP05,Rate,Rate expressed in the standard monetary denomination for the currency specified,S,,,,,
2400.HCP06,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /Repriced Approved Ambulatory Patient Group
Code",S,,,,,
2400.HCP07,Monetary Amount,,S,,,,,
2400.HCP09,Product/Service ID Qualifier,"Code identifying the type/source of the descriptive number used in
Product/Service ID",S,"ER : Jurisdiction Specific Procedure and Supply Codes
HC :Health Care Financing Administration Common
Procedural Coding System (HCPCS) Codes
IV : Home Infusion EDI Coalition (HIEC) Product/Service
Code
WK : Advanced Billing Concepts (ABC) Codes",,,,
2400.HCP10,Product/Service ID,Identifying number for a product or service,S,,,,,
2400.HCP11,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",S,"MJ : Minutes
UN: Unit",,,,
2400.HCP12,Quantity,Numeric value of quantity,S,,,,,
2400.HCP13,Reject Reason Code,Code assigned by issuer to identify reason for rejection,S,"T1 :Cannot Identify Provider as TPO (Third Party
Organization) Participant
T2 :Cannot Identify Payer as TPO (Third Party
Organization) Participant
T3 :Cannot Identify Insured as TPO (Third Party
Organization) Participant
T4 :Payer Name or Identifier Missing
T5 :Certification Information Missing
T6 :Claim does not contain enough information for repricing",,,,
2400.HCP14,Policy Compliance Code,Code specifying policy compliance,S,"1 :Procedure Followed (Compliance)
2:Not Followed - Call Not Made (Non-Compliance Call
Not Made)
3: Not Medically Necessary (Non-Compliance NonMedically Necessary)
4 :Not Followed Other (Non-Compliance Other)
5 : Emergency Admit to Non-Network Hospital",,,,
2400.HCP15,Exception Code,"Code specifying the exception reason for consideration of out-of-network health
care services",S,"1 :Non-Network Professional Provider in Network
Hospital
2 :Emergency Care
3: Services or Specialist not in Network
4 :Out-of-Service Area
5 :State Mandates
6 :Other",,,,
,,,,,,,,
LIN,Segment - LIN Drug identification (Situational),,,,,,,
2410.LIN02,Product/Service ID Qualifier,"Code identifying the type/source of the descriptive number used in
Product/Service ID",R,N4 : National Drug Code in 5-4-2 Format,N4,,,
2410.LIN03,Product/Service ID,Identifying number for a product or service,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/ndcCodes/NDCCode/,,
CTP,Segment - CTP Drug Quantity (Required),,,,,,,
2410.CTP04,Quantity,Numeric value of quantity,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/ndcCodes/NDCCode/quantity/,,
2410.CTP05-1,COMPOSITE UNIT OF MEASURE-Unit or Basis for Measurement Code,"To identify a composite unit of measure. Code specifying the units in which a value is being expressed, or
manner in which a measurement has been taken",R,"F2 : International Unit
GR : Gram
ME :Milligram
ML :Milliliter
UN :Unit",,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/ndcCodes/NDCCode/measurementType/,,
REF,Segment - REF Prescription or Compound Drug Association Number (Situational),,,,,,,
2410.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"VY : Link Sequence Number
XZ : Pharmacy Prescription Number",,,,
2410.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,
Loop: 2420A — RENDERING PROVIDER NAME Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Renderring Physician Name (Situational),,,,Follow the existing Logic. No changes required,,,
2420A.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,82 : Rendering Provider,82,,,
2420A.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity",1,,,
2420A.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/practitioner/lastName/,"Do not map for first service line. For subsequent service lines, map only when claim/claimLine/claimLine/renderingPractitioner/hccId/ is different from first service line's claim/claimLine/claimLine/renderingPractitioner/hccId/ and from claim/supplier/hccId/",
2420A.NM104,Name First,Individual first name,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/practitioner/firstName/,"Do not map for first service line. For subsequent service lines, map only when claim/claimLine/claimLine/renderingPractitioner/hccId/ is different from first service line's claim/claimLine/claimLine/renderingPractitioner/hccId/ and from claim/supplier/hccId/",
2420A.NM105,Name Middle,Individual middle name or initial,S,,,,,
2420A.NM107,Name Suffix,Suffix to individual name,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/practitioner/credentialSuffix/,"Do not map for first service line. For subsequent service lines, map only when claim/claimLine/claimLine/renderingPractitioner/hccId/ is different from first service line's claim/claimLine/claimLine/renderingPractitioner/hccId/ and from claim/supplier/hccId/",
2420A.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code,S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",XX,,,
2420A.NM109,Identification Code,Code identifying a party or other code /: Rendering Provider Identifier,S,1000959250,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/NPI/,"Do not map for first service line. For subsequent service lines, map only when claim/claimLine/claimLine/renderingPractitioner/hccId/ is different from first service line's claim/claimLine/claimLine/renderingPractitioner/hccId/ and from claim/supplier/hccId/",
PRV,Segment - PRV Rendering Provider Specialty Information (Situational),,,,,,,
2420A.PRV01,Provider Code,Code identifying the type of provider,R,PE : Performing,PE,,,
2420A.PRV02,Reference Identification Qualifier,Code qualifying the Reference Identification,R,PXC : Health Care Provider Taxonomy Code,PXC,,,
2420A.PRV03,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/primarySpecialty/taxonomyCode/,"Do not map for first service line. For subsequent service lines, map only when claim/claimLine/claimLine/renderingPractitioner/hccId/ is different from first service line's claim/claimLine/claimLine/renderingPractitioner/hccId/ and from claim/supplier/hccId/",
REF,Segment - REF Rendering Provider Secondary Identification (Situational),,,,,,,
2420A.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B: State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number
LU : Location Number",G2,,,
2420A.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/NPI,Populate this if billing provider is different,
2420A.REF04.01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,2U : Payer Identification Number,,,,
2420A.REF04.02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
Loop 2420B (Situational),,,,,,,,
NM1,Segment - NM1 Purchased Service Provider Name (Situational),,,,,,,
2420B.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,QB : Purchase Service Provider,,,,
2420B.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity",,,,
2420B.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,
2420B.NM109,Identification Code,Code identifying a party or other code,S,,,,,
REF,Segment - REF Purchased Service Provider Secondary Identification (Situational),,,,,,,
2420B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B: State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number",,,,
2420B.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
2420B.REF04.01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,2U : Payer Identification Number,,,,
2420B.REF04.02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
Loop 2420C (Situational),,,,,,,,
NM1,Segment - NM1 Service Facility Location Name (Situational),,,,,,,
2420C.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,77 : Service Location,,,,
2420C.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 :Non-Person Entity,,,,
2420C.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,
2420C.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,
2420C.NM109,Identification Code,Code identifying a party or other code,S,,,,,
N3,Segment - N3 Service Facility Location Address (Required),,,,,,,
2420C.N301,Address Information,Address Information,R,,,,,
2420C.N302,Address Information,Address Information,S,,,,,
N4,"Segment - N4 Service Facility Location City, State, ZIP Code (Required)",,,,,,,
2420C.N401,City Name,Free-form text for city name,R,,,,,
2420C.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,
2420C.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,
2420C.N404,Country Code,Code identifying the country,S,,,,,
2420C.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
REF,Segment - REF Service Facility Location Secondary Identification (Situational),,,,,,,
2420C.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"LU : Location Number
G2 : Provider Commercial Number",,,,
2420C.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
2420C.REF04.01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,2U : Payer Identification Number,,,,
2420C.REF04.02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
Loop 2420D (Situational),,,,,,,,
NM1,Segment - NM1 Supervising Provider Name (Situational),,,,,,,
2420D.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,DQ : Supervising Physician,,,,
2420D.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1 : Person,,,,
2420D.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,
2420D.NM104,Name First,Individual first name,S,,,,,
2420D.NM105,Name Middle,Individual middle name or initial,S,,,,,
2420D.NM107,Name Suffix,Suffix to individual name,S,,,,,
2420D.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code,S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,
2420D.NM109,Identification Code,Code identifying a party or other code,S,,,,,
REF,Segment - REF Supervising Provider Secondary Identification (Situational),,,,,,,
2420D.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B: State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number
LU: Location Number",,,,
2420D.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
2420D.REF04.01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,2U : Payer Identification Number,,,,
2420D.REF04.02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
Loop 2420E (Situational),,,,,,,,
NM1,Segment - NM1 Ordering Provider Name (Situational),,,,,,,
2420E.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,DK :Ordering Physician,,,,
2420E.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1 : Person,,,,
2420E.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,
2420E.NM104,Name First,Individual first name,S,,,,,
2420E.NM105,Name Middle,Individual middle name or initial,S,,,,,
2420E.NM107,Name Suffix,Suffix to individual name,S,,,,,
2420E.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code (67)",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,
2420E.NM109,Identification Code,Code identifying a party or other code,S,,,,,
N3,Segment - N3 Ordering Provider Address (Situational),,,,,,,
2420E.N301,Address Information,Address Information,R,,,,,
2420E.N302,Address Information,Address Information,S,,,,,
N4,"Segment - N4 Ordering Provider City, State, ZIP Code (Situational)",,,,,,,
2420E.N401,City Name,Free-form text for city name,R,,,,,
2420E.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,
2420E.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,
,,,,,,,,
2420E.N404,Country Code,Code identifying the country,S,,,,,
2420E.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
REF,Segment - REF Ordering Provider Secondary Identification (Situational),,,,,,,
2420E.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B: State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number",,,,
2420E.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
2420E.REF04.01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,2U  :Payer Identification Number,,,,
2420E.REF04.02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
PER,Segment - PER Ordering Provider Contact Information (Situational),,,,,,,
2420E.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group named,R,IC -  Information Contact,,,,
2420E.PER02,Name,Submitter Contact Name,S,<<Submitter Name>>,,,,
2420E.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone",,,,
2420E.PER04,Communication Number,Complete communications number including country or area code when applicable,R,,,,,
2420E.PER05,Communication Number Qualifier,Code identifying the type of communication number,S,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone",,,,
2420E.PER06,Communication Number,Complete communications number including country or area code when applicable,S,,,,,
2420E.PER07,Communication Number Qualifier,Code identifying the type of communication number,S,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone",,,,
2420E.PER08,Communication Number,Complete communications number including country or area code when applicable,S,,,,,
,,,,,,,,
NM1,Segment - NM1 Referring Provider Name (Situational),,,,,,,
2420F.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,"DN :Referring Provider
P3 :Primary Care Provider",,,,
2420F.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,,,,,
2420F.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,
2420F.NM104,Name First,Individual first name,S,,,,,
2420F.NM105,Name Middle,Individual middle name or initial,S,,,,,
2420F.NM107,Name Suffix,Suffix to individual name,S,,,,,
2420F.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code (67)",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,
2420F.NM109,Identification Code,Code identifying a party or other code,S,,,,,
REF,Segment - REF Referring Provider Secondary Identification (Situational),,,,,,,
2420F.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B: State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number",,,,
2420F.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
2420F.REF04.01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,2U : Payer Identification Number,,,,
2420F.REF04.02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
,,,,,,,,
NM1,Segment - NM1 Ambulance Pick-up Location (Situational),,,,,,,
2420G.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,PW : Pickup Address,,,,
2420G.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 : Non-Person Entity,,,,
N3,Segment- N3 Ambulance Pick-up Location Address (Required),,,,,,,
2420G.N301,Address Information,Address Information,R,,,,,
2420G.N302,Address Information,Address Information,S,,,,,
N4,"Segment - N4 Ambulance Pick-up Location City, State, ZIP Code (Required)",,,,,,,
2420G.N401,City Name,Free-form text for city name,R,,,mapped from getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/professionalAmbulanceDetails/ambulancePickUpLocationLineDetails/city,,
2420G.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,mapped from getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/professionalAmbulanceDetails/ambulancePickUpLocationLineDetails/state,,
2420G.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,mapped from getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/professionalAmbulanceDetails/ambulancePickUpLocationLineDetails/postalCode,,
2420G.N403,,,,,,mapped from getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/professionalAmbulanceDetails/ambulancePickUpLocationLineDetails/countryCode,Map only if not US,
2420G.N404,Country Code,Code identifying the country,S,,,,,
2420G.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
,,,,,,,,
NM1,Segment - NM1 Ambulance Drop-off Location (Situational),,,,,,,
2420H.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,45 :  Drop-off Location,"HardCode ""45""",,,
2420H.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 : Non-Person Entity,"HardCode ""2""",,,
2420H.NM103,Name Last or Organization Name,Individual last name or organizational name,S,,,,,
N3,Segment - N3 Ambulance Drop-off Location Address (Required),,,,,,,
2420H.N301,Address Information,Address Information,R,,,mapped from getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/professionalAmbulanceDetails/ambulanceDropOffLocationLineDetails/addressLine1,,
2420H.N302,Address Information,Address Information,S,,,mapped from getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/professionalAmbulanceDetails/ambulanceDropOffLocationLineDetails/addressLine2,,
N4,"Segment - N4 Ambulance Drop-off Location City, State, ZIP Code (Required)",,,,,,,
2420H.N401,City Name,Free-form text for city name,R,,,mapped from getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/professionalAmbulanceDetails/ambulanceDropOffLocationLineDetails/city,,
2420H.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,mapped from getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/professionalAmbulanceDetails/ambulanceDropOffLocationLineDetails/state,,
2420H.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,mapped from getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/professionalAmbulanceDetails/ambulanceDropOffLocationLineDetails/postalCode,,
2420H.N403,,,,,,,,
2420H.N404,Country Code,Code identifying the country,S,,,mapped from getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/professionalAmbulanceDetails/ambulanceDropOffLocationLineDetails/countryCode,,
2420H.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
"Loop 2430 (Situational)

Create 1st instance of SVD and corresponding CAS segment loop all the time for all service lines and this SVD 01 should always match the 1st instance of 2320 NM109 (PR) loop",,,,,,,,
SVD,Segment - SVD Line Adjudication Information (Situational),,,,,,,
2430.SVD01,Identification Code,Code identifying a party or other code,R,,,Create 1st instance of SVD and corresponding CAS segment loop all the time for all service lines and this SVD 01 should always match the 1st instance of 2330 NM109 loop,,
2430.SVD02,Monetary Amount,Monetary Amount,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/paidAmount,,
2430.SVD03.01,Product/Service ID Qualifier,Code identifying the type/source of the descriptive number used in Product/Service ID,R,"ER : Jurisdiction Specific Procedure and Supply Codes
HC : Health Care Financing Administration Common
Procedural Coding System (HCPCS) Codes
IV :Home Infusion EDI Coalition (HIEC) Product/Service
Code","Hardcode ""HC""",,,
2430.SVD03.02,Product/Service ID,Identifying number for a product or service,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/serviceCode,,
2430.SVD03.03,Procedure Modifier,"This identifies special circumstances related to the performance of the
service, as defined by trading partners",S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/modifierList/string,,
2430.SVD03.04,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/modifierList/string,,
2430.SVD03.05,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/modifierList/string,,
2430.SVD03.06,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/modifierList/string,,
2430.SVD03.07,Description,"A free-form description to clarify the related data elements and their
content",S,,,,,
2430.SVD05,Quantity,Numeric value of quantity/: Paid Service Unit Count,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/units,,
2430.SVD06,Assigned Number,Number assigned for differentiation within a transaction set/: Bundled or Unbundled Line Number,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/originalLineNumber/,"Map when originalLineNumber is different from re-ordered claimLineId
and claim/claimLine/claimLine/isSplit/ is 'true'.",
CAS,Segment - CAS Line Adjustment (Situational),2430 CAS codes received on the each individual service line needs to be mapped to casCodes under “lineeobinformation/lineeobcasCodes”,,,,,,
2430.CAS01,Claim Adjustment Group Code,Code identifying the general category of payment adjustment,R,"CO : Contractual Obligations
CR : Correction and Reversals
OA : Other adjustments
PI : Payor Initiated Reductions
PR : Patient Responsibility",,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentGroupCode,Group the CAS segment based on the claimAdjustmentGroupCode,Not getting theses tags in Soap
2430.CAS02,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentReasonCode,,
2430.CAS03,Monetary Amount,Monetary Amount,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentAmount,,
2430.CAS04,Quantity,Numeric value of quantity,S,,,,,
2430.CAS05,Claim Adjustment Reason Code,Code identifying the detailed reason the adjustment was made,S,,,/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentReasonCode,,
2430.CAS06,Monetary Amount,Monetary amount,S,,,/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentAmount,,
2430.CAS07,Quantity,Numeric value of quantity,S,,,,,
