EDILoopID. Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,Encounter Mapping,HRP Element Description,Transformation Logic,Comments
CRC,Segment - CRC Hospice Employee Indicator (Situational),,R,,,,,,
2400.CRC01,Code Category,Specifies the situation or category to which the code applies,R,70 : Hospice,,,,,
2400.CRC02,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,R,"Y : Yes
N : No",,,Hospice Employed Provider Indicator,,
2400.CRC03,Condition Indicator,Code indicating a condition,R,65 : Open,,,,,
CRC,Segment - CRC Condition Indicator/Durable Medical Equipment (Situational),,,,,,,,
2400.CRC01,Code Category,Specifies the situation or category to which the code applies,R,09 : Durable Medical Equipment Certification,,,,,
2400.CRC02,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,R,"Y : Yes
N : No",,,,,
2400.CRC03,Condition Indicator,Code indicating a condition,R,"38 :  Certification signed by the physician is on file at the
supplier’s office
ZV : Replacement Item",,,,,
2400.CRC04,Condition Indicator,Code indicating a condition,S,"38 :  Certification signed by the physician is on file at the
supplier’s office
ZV : Replacement Item",,,,,
DTP,Segment - DTP Date - Service Date (Required),,,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,472 : Service,,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,"RD8 :  Range of Dates Expressed in Format CCYYMMDDCCYYMMDD
D8 : Date Expressed in Format CCYYMMDD",,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,20201112,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/startDate,Start date of service,"01-08 -If we receive date format  CCYYMMDD We need to map both start date and end date


byte 1-8 in the format YYYY-MM-DD",
,,,,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/endDate,End date of service,byte 10-17 in the format YYYY-MM-DD,
DTP,Segment - DTP Date - Prescription Date (Situational),,,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,471 : Prescription,,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
DTP,Segment - DTP DATE - Certification Revision/Recertification Date (Situational),,,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,607 :  Certification Revision,,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
DTP,Segment - DTP Date - Begin Therapy Date (Situational),,,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,463 : Begin Therapy,,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
DTP,Segment - DTP Date - Last Certification Date (Situational),,,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,461 : Last Certification,,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
DTP,Segment - DTP Date - Last Seen Date (Situational),,,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,304 : Latest Visit or Consultation,,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
DTP,Segment - DTP Date - Test Date (Situational),,,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,"738 :Most Recent Hemoglobin or Hematocrit or Both
739 :Most Recent Serum Creatine",,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
DTP,Segment - DTP Date - Shipped Date (Situational),,,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,011 : Shipped,,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
DTP,Segment - DTP Date - Last X-ray Date (Situational),,,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,455 : Last X-Ray,,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
DTP,Segment - DTP Date - Initial Treatment Date (Situational),,,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,454:  Initial Treatment,,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
QTY,Segment - QTY Ambulance Patient Count (Situational),,,,,,,,
2400.QTY01,Quantity Qualifier,Code specifying the type of quantity,R,PT : Patients,,,,,
2400.QTY02,Quantity,Numeric value of quantity,R,,,,,,
QTY,Segment - QTY Obstetric Anesthesia Additional Units (Situational),,,,,,,,
2400.QTY01,Quantity Qualifier,Code specifying the type of quantity,R,FL : Units,,,,,
2400.QTY02,Quantity,Numeric value of quantity,R,,,,,,
MEA,Segment - MEA Test Result (Situational),,,,,,,,
2400.MEA01,Measurement Reference ID Code,Code identifying the broad category to which a measurement applies,R,"OG Original
TR Test Results",,,,,
2400.MEA02,Measurement Qualifier,"Code identifying a specific product or process characteristic to which a
measurement applies",R,"HT Height
R1 Hemoglobin
R2 Hematocrit
R3 Epoetin Starting Dosage
R4 Creatinine",,,,,
2400.MEA03,Measurement Value,The value of the measurement,R,,,,,,
CN1,Segment - CN1 Contract Information (Situational),,,,,,,,
2400.CN101,Contract Type Code,Code identifying a contract type,R,"01 : Diagnosis Related Group (DRG)
02 : Per Diem
03 : Variable Per Diem
04 : Flat
05 : Capitated
06 : Percent
09 : Other",,,,,
2400.CN102,Monetary Amount,Monetary Amount,S,,,,,,
2400.CN103,"Percent, Decimal Format",Percent given in decimal format,S,,,,,,
2400.CN104,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /: Contract Code",S,,,,,,
2400.CN105,Terms Discount Percent,"Terms discount percentage, expressed as a percent, available to the purchaser if
an invoice is paid on or before the Terms Discount Due Date",S,,,,,,
2400.CN106,Version Identifier,"Revision level of a particular format, program, technique or algorithm",S,,,,,,
REF,Segment - REF Line Item Control Number (Situational),,,,,,,,
2400.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,6R : Provider Control Number,,,,,
2400.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
REF,Segment - REF Repriced Line Item Reference Number (Situational),,,,,,,,
2400.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9B : Repriced Line Item Reference Number,,,,,
2400.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
REF,Segment - REF Adjusted Repriced Line Item Reference Number (Situational),,,,,,,,
2400.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9D : Adjusted Repriced Line Item Reference Number,,,,,
2400.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
REF,Segment - REF Prior Authorization (Situational),,,,,,,,
2400.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,G1 : Prior Authorization Number,,,,,
2400.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
2400.REF04.01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,2U : Payer Identification Number,,,,,
2400.REF04.02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
REF,Segment - REF Mammography Certification Number (Situational),,,,,,,,
2400.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,EW : Mammography Certification Number,,,,,
2400.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
REF,Segment - REF Clinical Laboratory Improvement Amendment (CLIA) Number (Situational),,,,,,,,
2400.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"X4 : Clinical Laboratory Improvement Amendment
Number",,,,,
2400.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
REF,Segment - REF Immunization Batch Number (Situational),,,,,,,,
2400.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,BT : Batch Number,,,,,
2400.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
REF,Segment - REF Referral Number (Situational),,,,,,,,
2400.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9F  :Referral Number,,,,,
2400.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
2400.REF04.01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,2U : Payer Identification Number,,,,,
2400.REF04.02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
AMT,Segment - AMT Sales Tax Amount (Situational),,,,,,,,
2400.AMT01,Amount Qualifier Code,Code to qualify amount,R,T :Tax,,,,,
2400.AMT02,Monetary Amount,Monetary Amount,R,,,,,,COB related
AMT,Segment - AMT Postage Claimed Amount (Situational),,,,,,,,
2400.AMT01,Amount Qualifier Code,Code to qualify amount,R,F4 : Postage Claimed,,,,,
2400.AMT02,Monetary Amount,Monetary Amount,R,,,,,,
K3,Segment - K3 File Information (Situational),,,,,,,,
2400.K301,Fixed Format Information,Data in fixed format agreed upon by sender and receiver,R,,,,,,
NTE,Segment - NTE Line Note (Situational),,,,,,,,
2400.NTE01,Note Reference Code,Code identifying the functional area or purpose for which the note applies,R,"ADD :Additional Information
DCP: Goals, Rehabilitation Potential, or Discharge Plans",,,,,
2400.NTE02,Description,A free-form description to clarify the related data elements and their content,R,,,,Remarks added for Service line,,
NTE,Segment - NTE Third Party Organization Notes (Situational),,,,,,,,
2400.NTE01,Note Reference Code,Code identifying the functional area or purpose for which the note applies,R,TPO : Third Party Organization Notes,,,,,
2400.NTE02,Description,A free-form description to clarify the related data elements and their content,R,,,,Remarks added for Service line,,
PS1,Segment - PS1 Purchased Service Information (Situational),,,,,,,,
2400.PS101,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,
2400.PS102,Monetary Amount,Monetary Amount,R,,,,,,
HCP,Segment - HCP Line Pricing/Repricing Information (Situational),,,,,,,,
2400.HCP01,Pricing Methodology,"Code specifying pricing methodology at which the claim or line item has been
priced or repriced",R,"00: Zero Pricing (Not Covered Under Contract)
01: Priced as Billed at 100%
02 :Priced at the Standard Fee Schedule
03 :Priced at a Contractual Percentage
04 : Bundled Pricing
05 : Peer Review Pricing
06 : Per Diem Pricing
07 : Flat Rate Pricing
08  :Combination Pricing
09 : Maternity Pricing
10 : Other Pricing
11 : Lower of Cost
12 : Ratio of Cost
13 : Cost Reimbursed
14 : Adjustment Pricing",,,,,
2400.HCP02,Monetary Amount,Monetary Amount,R,,,,Amount allowed by the repricer,,
2400.HCP03,Monetary Amount,Monetary Amount,S,,,,,,
2400.HCP04,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifie /Repricing Organization Identifier",S,,,,ID of the repricing source,,
2400.HCP05,Rate,Rate expressed in the standard monetary denomination for the currency specified,S,,,,,,
2400.HCP06,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /Repriced Approved Ambulatory Patient Group
Code",S,,,,,,
2400.HCP07,Monetary Amount,,S,,,,,,
2400.HCP09,Product/Service ID Qualifier,"Code identifying the type/source of the descriptive number used in
Product/Service ID",S,"ER : Jurisdiction Specific Procedure and Supply Codes
HC :Health Care Financing Administration Common
Procedural Coding System (HCPCS) Codes
IV : Home Infusion EDI Coalition (HIEC) Product/Service
Code
WK : Advanced Billing Concepts (ABC) Codes",,,,,
2400.HCP10,Product/Service ID,Identifying number for a product or service,S,,,,,,
2400.HCP11,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",S,"MJ : Minutes
UN: Unit",,,,,
2400.HCP12,Quantity,Numeric value of quantity,S,,,,,,
2400.HCP13,Reject Reason Code,Code assigned by issuer to identify reason for rejection,S,"T1 :Cannot Identify Provider as TPO (Third Party
Organization) Participant
T2 :Cannot Identify Payer as TPO (Third Party
Organization) Participant
T3 :Cannot Identify Insured as TPO (Third Party
Organization) Participant
T4 :Payer Name or Identifier Missing
T5 :Certification Information Missing
T6 :Claim does not contain enough information for repricing",,,Reject reason code,,
2400.HCP14,Policy Compliance Code,Code specifying policy compliance,S,"1 :Procedure Followed (Compliance)
2:Not Followed - Call Not Made (Non-Compliance Call
Not Made)
3: Not Medically Necessary (Non-Compliance NonMedically Necessary)
4 :Not Followed Other (Non-Compliance Other)
5 : Emergency Admit to Non-Network Hospital",,,,,
2400.HCP15,Exception Code,"Code specifying the exception reason for consideration of out-of-network health
care services",S,"1 :Non-Network Professional Provider in Network
Hospital
2 :Emergency Care
3: Services or Specialist not in Network
4 :Out-of-Service Area
5 :State Mandates
6 :Other",,,,,
Loop 2410  — DRUG IDENTIFICATION Drug identification Loop Repeat: 1,,,,,,,,,
LIN,Segment - LIN Drug identification (Situational),,,,,,,,
2410.LIN02,Product/Service ID Qualifier,"Code identifying the type/source of the descriptive number used in
Product/Service ID",R,N4 : National Drug Code in 5-4-2 Format,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/ndcCodes/qualifier,,"Map N4 as 'ND'

Xwalk  N4  as ND to qualifier
UP dont require a Xwalk
(Birdsong)",need to check the x walk/configuration team
2410.LIN03,Product/Service ID,Identifying number for a product or service,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/ndcCodes/ndcCode,NationalDrugCodereference.,,
CTP,Segment - CTP Drug Quantity (Required),,,,,,,,
2410.CTP04,Quantity,Numeric value of quantity,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/ndcCodes/quantity,Quantity; maximum of 8 digits.,,
2410.CTP05-1,COMPOSITE UNIT OF MEASURE-Unit or Basis for Measurement Code,"To identify a composite unit of measure. Code specifying the units in which a value is being expressed, or
manner in which a measurement has been taken",R,"F2 : International Unit
GR : Gram
ME :Milligram
ML :Milliliter
UN :Unit",,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/ndcCodes/measurementType,"Identifies the unit of measurement,such as ML (milliliter),OU (ounce),etc.",,
REF,Segment - REF Prescription or Compound Drug Association Number (Situational),,,,,,,,
2410.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"VY : Link Sequence Number
XZ : Pharmacy Prescription Number",,,,,
2410.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,
Loop 2420A  — RENDERING PROVIDER NAME(Situational) Loop Repeat: 1,,,,,,,,,
NM1,Segment - NM1 Renderring Physician Name (Situational),,,,,,,,
2420A.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,82 : Rendering Provider,,,,,
2420A.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity",,,,,
2420A.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/renderingProviderLastName,Rendering Provider's Last Name,,
2420A.NM104,Name First,Individual first name,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/renderingProviderFirstName,Rendering Provider's First Name,,
2420A.NM105,Name Middle,Individual middle name or initial,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/renderingProviderMiddleName,,,
2420A.NM107,Name Suffix,Suffix to individual name,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/renderingProviderSuffix,,,
2420A.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code,S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,,
2420A.NM109,Identification Code,Code identifying a party or other code /: Rendering Provider Identifier,S,1000959250,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/renderingProviderNPI,Rendering Provider's National Provider Id,,
PRV,Segment - PRV Rendering Provider Specialty Information (Situational),,,,,,,,
2420A.PRV01,Provider Code,Code identifying the type of provider,R,PE : Performing,,,,,
2420A.PRV02,Reference Identification Qualifier,Code qualifying the Reference Identification,R,PXC : Health Care Provider Taxonomy Code,,,,,
2420A.PRV03,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,1041C0700X,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/renderingPractitionerSpecialty,Rendering Provider's Speciality,,
REF,Segment - REF Rendering Provider Secondary Identification (Situational),,,,,,,,
2420A.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B: State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number
LU : Location Number",,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/renderingProviderIdQualifier,Rendering provider secondary id type,,
2420A.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/otherRenderingProviderId,Rendering Provider's Id,,
2420A.REF04.01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,2U : Payer Identification Number,,,,,
2420A.REF04.02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
Loop 2420B  — PURCHASED SERVICE PROVIDER NAME (Situational) Loop Repeat: 1,,,,,,,,,
NM1,Segment - NM1 Purchased Service Provider Name (Situational),,,,,,,,
2420B.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,QB : Purchase Service Provider,,,,,
2420B.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity",,,,,
2420B.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,,
2420B.NM109,Identification Code,Code identifying a party or other code,S,,,,,,
REF,Segment - REF Purchased Service Provider Secondary Identification (Situational),,,,,,,,
2420B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B: State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number",,,,,
2420B.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
2420B.REF04.01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,2U : Payer Identification Number,,,,,
2420B.REF04.02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
Loop 2420C  — SERVICE FACILITY LOCATION NAME  (Situational) Loop Repeat: 1,,,,,,,,,
NM1,Segment - NM1 Service Facility Location Name (Situational),,,,,,,,
2420C.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,77 : Service Location,,,,,
2420C.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 :Non-Person Entity,,,,,
2420C.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,Name of Lab/facility,,
2420C.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,,
2420C.NM109,Identification Code,Code identifying a party or other code,S,,,,,,
N3,Segment - N3 Service Facility Location Address (Required),,,,,,,,
2420C.N301,Address Information,Address Information,R,,,,,,
2420C.N302,Address Information,Address Information,S,,,,,,
N4,"Segment - N4 Service Facility Location City, State, ZIP Code (Required)",,,,,,,,
2420C.N401,City Name,Free-form text for city name,R,,,,,,
2420C.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,,
2420C.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,,
2420C.N404,Country Code,Code identifying the country,S,,,,,,
2420C.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,
REF,Segment - REF Service Facility Location Secondary Identification (Situational),,,,,,,,
2420C.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"LU : Location Number
G2 : Provider Commercial Number",,,,,
2420C.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
2420C.REF04.01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,2U : Payer Identification Number,,,,,
2420C.REF04.02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
Loop 2420D — SUPERVISING PROVIDER NAME (Situational) Loop Repeat: 1,,,,,,,,,
NM1,Segment - NM1 Supervising Provider Name (Situational),,,,,,,,
2420D.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,DQ : Supervising Physician,,,,,
2420D.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1 : Person,,,,,
2420D.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,,
2420D.NM104,Name First,Individual first name,S,,,,,,
2420D.NM105,Name Middle,Individual middle name or initial,S,,,,,,
2420D.NM107,Name Suffix,Suffix to individual name,S,,,,,,
2420D.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code,S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,,
2420D.NM109,Identification Code,Code identifying a party or other code,S,,,,,,
REF,Segment - REF Supervising Provider Secondary Identification (Situational),,,,,,,,
2420D.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B: State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number
LU: Location Number",,,,,
2420D.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
2420D.REF04.01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,2U : Payer Identification Number,,,,,
2420D.REF04.02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
Loop 2420E — ORDERING PROVIDER NAME (Situational) Loop Repeat: 1,,,R,,,,,,
NM1,Segment - NM1 Ordering Provider Name (Situational),,,,,,,,
2420E.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,DK :Ordering Physician,,,,,
2420E.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1 : Person,,,,,
2420E.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,,
2420E.NM104,Name First,Individual first name,S,,,,,,
2420E.NM105,Name Middle,Individual middle name or initial,S,,,,,,
2420E.NM107,Name Suffix,Suffix to individual name,S,,,,,,
2420E.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code (67)",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,,
2420E.NM109,Identification Code,Code identifying a party or other code,S,,,,,,
N3,Segment - N3 Ordering Provider Address (Situational),,,,,,,,
2420E.N301,Address Information,Address Information,R,,,,,,
2420E.N302,Address Information,Address Information,S,,,,,,
N4,"Segment - N4 Ordering Provider City, State, ZIP Code (Situational)",,,,,,,,
2420E.N401,City Name,Free-form text for city name,R,,,,,,
2420E.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,,
2420E.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,,
,,,,,,,,,
2420E.N404,Country Code,Code identifying the country,S,,,,,,
2420E.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,
REF,Segment - REF Ordering Provider Secondary Identification (Situational),,,,,,,,
2420E.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B: State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number",,,,,
2420E.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
2420E.REF04.01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,2U  :Payer Identification Number,,,,,
2420E.REF04.02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
PER,Segment - PER Ordering Provider Contact Information (Situational),,,,,,,,
2420E.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group named,R,IC -  Information Contact,,,,,
2420E.PER02,Name,Submitter Contact Name,S,<<Submitter Name>>,,,,,
2420E.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone",,,,,
2420E.PER04,Communication Number,Complete communications number including country or area code when applicable,R,,,,,,
2420E.PER05,Communication Number Qualifier,Code identifying the type of communication number,S,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone",,,,,
2420E.PER06,Communication Number,Complete communications number including country or area code when applicable,S,,,,,,
2420E.PER07,Communication Number Qualifier,Code identifying the type of communication number,S,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone",,,,,
2420E.PER08,Communication Number,Complete communications number including country or area code when applicable,S,,,,,,
Loop 2420F — REFERRING PROVIDER NAME (Situational) Loop Repeat: 2,,,,,,,,,
