EDILoopID. Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,CSV Field,Claim/Line Level Record,Mapping Logic
2400.SV107.02,Diagnosis Code Pointer,A pointer to the diagnosis code in the order of importance to this service,S,,,Diagnosis_Code_Pointer_2,Line Level,
2400.SV107.03,Diagnosis Code Pointer,A pointer to the diagnosis code in the order of importance to this service,S,,,Diagnosis_Code_Pointer_3,Line Level,
2400.SV107.04,Diagnosis Code Pointer,A pointer to the diagnosis code in the order of importance to this service,S,,,Diagnosis_Code_Pointer_4,Line Level,
2400.SV109,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response /Emergency Indicator,S,Y :Yes,,,,
2400.SV111,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response /EPSDT Indicator,S,Y :Yes,,,,
2400.SV112,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response/ Family Planning Indicator,S,Y :Yes,,,,
2400.SV115,Copay Status Code,"Code indicating whether or not co-payment requirements were met on a line by
line basis",S,0 : Copay exempt,,,,
SV5,Segment - SV5 Durable Medical Equipment Service (Situational),,,,,,,
2400.SV501.01,Product/Service ID Qualifier,"Code identifying the type/source of the descriptive number used in
Product/Service ID",R,"HC : Health Care Financing Administration Common
Procedural Coding System (HCPCS) Codes",,,,
2400.SV501.02,Product/Service ID,Identifying number for a product or service,R,,,,,
2400.SV502,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which
a measurement has been taken",R,DA: Days,,,,
2400.SV503,Quantity,Numeric value of quantity,R,,,,,
2400.SV504,Monetary Amount,Monetary Amount,R,,,,,
2400.SV505,Monetary Amount,Monetary Amount,R,,,,,
2400.SV506,Frequency Code,Code indicating frequency or type of activities or actions being reported,R,"1 :Weekly
4 :Monthly
6 :Daily",,,,
PWK,Segment - PWK Line Supplemental Information (Situational),,,,,,,
2400.PWK01,Report Type Code,"Code indicating the title or contents of a document, report or supporting item",R,,,,,
2400.PWK02,Report Transmission Code,"Code defining timing, transmission method or format by which reports are to be sent",R,,,,,
2400.PWK05,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,AC :  Attachment Control Number,,,,
2400.PWK06,Identification Code,Code identifying a party or other code,S,,,,,
PWK,Segment - PWK Durable Medical Equipment Certificate of Medical Necessity Indicator (Situational),,,,,,,
2400.PWK01,Report Type Code,"Code indicating the title or contents of a document, report or supporting item",R,CT : Certification,,,,
2400.PWK02,Report Transmission Code,"Code defining timing, transmission method or format by which reports are to be
sent",R,"AB :Previously Submitted to Payer
AD :Certification Included in this Claim
AF :Narrative Segment Included in this Claim
AG :No Documentation is Required
NS :Not Specified",,,,
CR1,Segment - CR1 Ambulance Transport Information (Situational),,,,,,,
2400.CR101,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",S,LB : Pound,,,,
2400.CR102,Weight,Numeric value of weight,S,,,,,
2400.CR104,Ambulance Transport Reason Code,Code indicating the reason for ambulance transport,R,"A : Patient was transported to nearest facility
B : Patient was transported for the benefit of a preferred physician
C : Patient was transported for the nearness of family members
D : Patient was transported for the care of a specialist
E : Patient Transferred to Rehabilitation Facility",,,,
2400.CR105,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",R,DH : Miles,,,,
2400.CR106,Quantity,Transport Distance,R,,,,,
2400.CR109,Description,"Round Trip Purpose Description. Required when the ambulance service is for a round
trip.",S,,,,,
2400.CR110,Description,Stretcher Purpose Description,S,,,,,
CR3,Segment - CR3 Durable Medical Equipment Certification (Situational),,,,,,,
2400.CR301,Certification Type Code,Code indicating the type of certification,R,"I : Initial
R : Renewal
S : Revised",,,,
2400.CR302,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",R,MO : Months,,,,
2400.CR303,Quantity,Numeric value of quantity,R,,,,,
CRC,Segment - CRC Ambulance Certification (Situational),,,,,,,
2400.CRC01,Code Category,Specifies the situation or category to which the code applies,R,07 : Ambulance Certification,,,,
2400.CRC02,Yes/No Condition or Response Code,Certification Condition Indicator,R,"Y : Yes
N : No",,,,
2400.CRC03,Condition Indicator,Code indicating a condition,R,"01 : Patient was admitted to a hospital
04 : Patient was moved by stretcher
05 : Patient was unconscious or in shock
06 : Patient was transported in an emergency situation
07 : Patient had to be physically restrained
08 : Patient had visible hemorrhaging
09 : Ambulance service was medically necessary
12 : Patient is confined to a bed or chair",,,,
2400.CRC04,Condition Indicator,Code indicating a condition when a second condition code is necessary,S,"01 : Patient was admitted to a hospital
04 : Patient was moved by stretcher
05 : Patient was unconscious or in shock
06 : Patient was transported in an emergency situation
07 : Patient had to be physically restrained
08 : Patient had visible hemorrhaging
09 : Ambulance service was medically necessary
12 : Patient is confined to a bed or chair",,,,
2400.CRC05,Condition Indicator,Code indicating a condition when a third condition code is necessary,S,"01 : Patient was admitted to a hospital
04 : Patient was moved by stretcher
05 : Patient was unconscious or in shock
06 : Patient was transported in an emergency situation
07 : Patient had to be physically restrained
08 : Patient had visible hemorrhaging
09 : Ambulance service was medically necessary
12 : Patient is confined to a bed or chair",,,,
2400.CRC06,Condition Indicator,Code indicating a condition when a fourth condition code is necessary,S,"01 : Patient was admitted to a hospital
04 : Patient was moved by stretcher
05 : Patient was unconscious or in shock
06 : Patient was transported in an emergency situation
07 : Patient had to be physically restrained
08 : Patient had visible hemorrhaging
09 : Ambulance service was medically necessary
12 : Patient is confined to a bed or chair",,,,
2400.CRC07,Condition Indicator,Code indicating a condition when a fifth condition code is necessary,S,"01 : Patient was admitted to a hospital
04 : Patient was moved by stretcher
05 : Patient was unconscious or in shock
06 : Patient was transported in an emergency situation
07 : Patient had to be physically restrained
08 : Patient had visible hemorrhaging
09 : Ambulance service was medically necessary
12 : Patient is confined to a bed or chair",,,,
CRC,Segment - CRC Hospice Employee Indicator (Situational),,R,,,,,
2400.CRC01,Code Category,Specifies the situation or category to which the code applies,R,70 : Hospice,,,,
2400.CRC02,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,R,"Y : Yes
N : No",,,,
2400.CRC03,Condition Indicator,Code indicating a condition,R,65 : Open,,,,
CRC,Segment - CRC Condition Indicator/Durable Medical Equipment (Situational),,,,,,,
2400.CRC01,Code Category,Specifies the situation or category to which the code applies,R,09 : Durable Medical Equipment Certification,,,,
2400.CRC02,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,R,"Y : Yes
N : No",,,,
2400.CRC03,Condition Indicator,Code indicating a condition,R,"38 :  Certification signed by the physician is on file at the
supplier’s office
ZV : Replacement Item",,,,
2400.CRC04,Condition Indicator,Code indicating a condition,S,"38 :  Certification signed by the physician is on file at the
supplier’s office
ZV : Replacement Item",,,,
DTP,Segment - DTP Date - Service Date (Required),,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,472 : Service,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,"RD8 :  Range of Dates Expressed in Format CCYYMMDDCCYYMMDD
D8 : Date Expressed in Format CCYYMMDD",,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,20201112,Start_Date,Line Level,byte 1-8 in the format YYYY-MM-DD
,,,,,,End_Date,Line Level,byte 10-17 in the format YYYY-MM-DD
DTP,Segment - DTP Date - Prescription Date (Situational),,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,471 : Prescription,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,
DTP,Segment - DTP DATE - Certification Revision/Recertification Date (Situational),,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,607 :  Certification Revision,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,
DTP,Segment - DTP Date - Begin Therapy Date (Situational),,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,463 : Begin Therapy,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,
DTP,Segment - DTP Date - Last Certification Date (Situational),,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,461 : Last Certification,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,
DTP,Segment - DTP Date - Last Seen Date (Situational),,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,304 : Latest Visit or Consultation,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,
DTP,Segment - DTP Date - Test Date (Situational),,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,"738 :Most Recent Hemoglobin or Hematocrit or Both
739 :Most Recent Serum Creatine",,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,
DTP,Segment - DTP Date - Shipped Date (Situational),,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,011 : Shipped,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,
DTP,Segment - DTP Date - Last X-ray Date (Situational),,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,455 : Last X-Ray,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,
DTP,Segment - DTP Date - Initial Treatment Date (Situational),,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,454:  Initial Treatment,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,
QTY,Segment - QTY Ambulance Patient Count (Situational),,,,,,,
2400.QTY01,Quantity Qualifier,Code specifying the type of quantity,R,PT : Patients,,,,
2400.QTY02,Quantity,Numeric value of quantity,R,,,,,
QTY,Segment - QTY Obstetric Anesthesia Additional Units (Situational),,,,,,,
2400.QTY01,Quantity Qualifier,Code specifying the type of quantity,R,FL : Units,,,,
2400.QTY02,Quantity,Numeric value of quantity,R,,,,,
MEA,Segment - MEA Test Result (Situational),,,,,,,
2400.MEA01,Measurement Reference ID Code,Code identifying the broad category to which a measurement applies,R,"OG Original
TR Test Results",,,,
2400.MEA02,Measurement Qualifier,"Code identifying a specific product or process characteristic to which a
measurement applies",R,"HT Height
R1 Hemoglobin
R2 Hematocrit
R3 Epoetin Starting Dosage
R4 Creatinine",,,,
2400.MEA03,Measurement Value,The value of the measurement,R,,,,,
CN1,Segment - CN1 Contract Information (Situational),,,,,,,
2400.CN101,Contract Type Code,Code identifying a contract type,R,"01 : Diagnosis Related Group (DRG)
02 : Per Diem
03 : Variable Per Diem
04 : Flat
05 : Capitated
06 : Percent
09 : Other",,,,
2400.CN102,Monetary Amount,Monetary Amount,S,,,,,
2400.CN103,"Percent, Decimal Format",Percent given in decimal format,S,,,,,
2400.CN104,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /: Contract Code",S,,,,,
2400.CN105,Terms Discount Percent,"Terms discount percentage, expressed as a percent, available to the purchaser if
an invoice is paid on or before the Terms Discount Due Date",S,,,,,
2400.CN106,Version Identifier,"Revision level of a particular format, program, technique or algorithm",S,,,,,
REF,Segment - REF Line Item Control Number (Situational),,,,,,,
2400.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,6R : Provider Control Number,,,,
2400.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
REF,Segment - REF Repriced Line Item Reference Number (Situational),,,,,,,
2400.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9B : Repriced Line Item Reference Number,,,,
2400.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
REF,Segment - REF Adjusted Repriced Line Item Reference Number (Situational),,,,,,,
2400.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9D : Adjusted Repriced Line Item Reference Number,,,,
2400.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
REF,Segment - REF Prior Authorization (Situational),,,,,,,
2400.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,G1 : Prior Authorization Number,,,,
2400.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
2400.REF04.01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,2U : Payer Identification Number,,,,
2400.REF04.02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
REF,Segment - REF Mammography Certification Number (Situational),,,,,,,
2400.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,EW : Mammography Certification Number,,,,
2400.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
REF,Segment - REF Clinical Laboratory Improvement Amendment (CLIA) Number (Situational),,,,,,,
2400.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"X4 : Clinical Laboratory Improvement Amendment
Number",,,,
2400.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
REF,Segment - REF Immunization Batch Number (Situational),,,,,,,
2400.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,BT : Batch Number,,,,
2400.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
REF,Segment - REF Referral Number (Situational),,,,,,,
2400.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9F  :Referral Number,,,,
2400.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
2400.REF04.01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,2U : Payer Identification Number,,,,
2400.REF04.02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
AMT,Segment - AMT Sales Tax Amount (Situational),,,,,,,
2400.AMT01,Amount Qualifier Code,Code to qualify amount,R,T :Tax,,,,
2400.AMT02,Monetary Amount,Monetary Amount,R,,,,,
AMT,Segment - AMT Postage Claimed Amount (Situational),,,,,,,
2400.AMT01,Amount Qualifier Code,Code to qualify amount,R,F4 : Postage Claimed,,,,
2400.AMT02,Monetary Amount,Monetary Amount,R,,,,,
K3,Segment - K3 File Information (Situational),,,,,,,
2400.K301,Fixed Format Information,Data in fixed format agreed upon by sender and receiver,R,,,,,
NTE,Segment - NTE Line Note (Situational),,,,,,,
2400.NTE01,Note Reference Code,Code identifying the functional area or purpose for which the note applies,R,"ADD :Additional Information
DCP: Goals, Rehabilitation Potential, or Discharge Plans",,,,
2400.NTE02,Description,A free-form description to clarify the related data elements and their content,R,,,,,
NTE,Segment - NTE Third Party Organization Notes (Situational),,,,,,,
2400.NTE01,Note Reference Code,Code identifying the functional area or purpose for which the note applies,R,TPO : Third Party Organization Notes,,,,
2400.NTE02,Description,A free-form description to clarify the related data elements and their content,R,,,,,
PS1,Segment - PS1 Purchased Service Information (Situational),,,,,,,
2400.PS101,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,
2400.PS102,Monetary Amount,Monetary Amount,R,,,,,
HCP,Segment - HCP Line Pricing/Repricing Information (Situational),,,,,,,
2400.HCP01,Pricing Methodology,"Code specifying pricing methodology at which the claim or line item has been
priced or repriced",R,"00: Zero Pricing (Not Covered Under Contract)
01: Priced as Billed at 100%
02 :Priced at the Standard Fee Schedule
03 :Priced at a Contractual Percentage
04 : Bundled Pricing
05 : Peer Review Pricing
06 : Per Diem Pricing
07 : Flat Rate Pricing
08  :Combination Pricing
09 : Maternity Pricing
10 : Other Pricing
11 : Lower of Cost
12 : Ratio of Cost
13 : Cost Reimbursed
14 : Adjustment Pricing",,,,
2400.HCP02,Monetary Amount,Monetary Amount,R,,,,,
2400.HCP03,Monetary Amount,Monetary Amount,S,,,,,
2400.HCP04,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifie /Repricing Organization Identifier",S,,,,,
2400.HCP05,Rate,Rate expressed in the standard monetary denomination for the currency specified,S,,,,,
2400.HCP06,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier /Repriced Approved Ambulatory Patient Group
Code",S,,,,,
2400.HCP07,Monetary Amount,,S,,,,,
2400.HCP09,Product/Service ID Qualifier,"Code identifying the type/source of the descriptive number used in
Product/Service ID",S,"ER : Jurisdiction Specific Procedure and Supply Codes
HC :Health Care Financing Administration Common
Procedural Coding System (HCPCS) Codes
IV : Home Infusion EDI Coalition (HIEC) Product/Service
Code
WK : Advanced Billing Concepts (ABC) Codes",,,,
2400.HCP10,Product/Service ID,Identifying number for a product or service,S,,,,,
2400.HCP11,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",S,"MJ : Minutes
UN: Unit",,,,
2400.HCP12,Quantity,Numeric value of quantity,S,,,,,
2400.HCP13,Reject Reason Code,Code assigned by issuer to identify reason for rejection,S,"T1 :Cannot Identify Provider as TPO (Third Party
Organization) Participant
T2 :Cannot Identify Payer as TPO (Third Party
Organization) Participant
T3 :Cannot Identify Insured as TPO (Third Party
Organization) Participant
T4 :Payer Name or Identifier Missing
T5 :Certification Information Missing
T6 :Claim does not contain enough information for repricing",,,,
2400.HCP14,Policy Compliance Code,Code specifying policy compliance,S,"1 :Procedure Followed (Compliance)
2:Not Followed - Call Not Made (Non-Compliance Call
Not Made)
3: Not Medically Necessary (Non-Compliance NonMedically Necessary)
4 :Not Followed Other (Non-Compliance Other)
5 : Emergency Admit to Non-Network Hospital",,,,
2400.HCP15,Exception Code,"Code specifying the exception reason for consideration of out-of-network health
care services",S,"1 :Non-Network Professional Provider in Network
Hospital
2 :Emergency Care
3: Services or Specialist not in Network
4 :Out-of-Service Area
5 :State Mandates
6 :Other",,,,
Loop 2410  — DRUG IDENTIFICATION Drug identification Loop Repeat: 1,,,,,,,,
LIN,Segment - LIN Drug identification (Situational),,,,,,,
2410.LIN02,Product/Service ID Qualifier,"Code identifying the type/source of the descriptive number used in
Product/Service ID",R,N4 : National Drug Code in 5-4-2 Format,,,,
2410.LIN03,Product/Service ID,Identifying number for a product or service,R,,,,,
CTP,Segment - CTP Drug Quantity (Required),,,,,,,
2410.CTP04,Quantity,Numeric value of quantity,R,,,,,
2410.CTP05-1,COMPOSITE UNIT OF MEASURE-Unit or Basis for Measurement Code,"To identify a composite unit of measure. Code specifying the units in which a value is being expressed, or
manner in which a measurement has been taken",R,"F2 : International Unit
GR : Gram
ME :Milligram
ML :Milliliter
UN :Unit",,,,
REF,Segment - REF Prescription or Compound Drug Association Number (Situational),,,,,,,
2410.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"VY : Link Sequence Number
XZ : Pharmacy Prescription Number",,,,
2410.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,
Loop 2420A  — RENDERING PROVIDER NAME(Situational) Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Renderring Physician Name (Situational),,,,,,,
2420A.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,82 : Rendering Provider,,,,
2420A.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity",,,,
2420A.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,Service_Line_RenderingProviderLastName,Line Level,
2420A.NM104,Name First,Individual first name,S,,,Service_Line_RenderingProviderFirstName,Line Level,
2420A.NM105,Name Middle,Individual middle name or initial,S,,,,,
2420A.NM107,Name Suffix,Suffix to individual name,S,,,,,
2420A.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code,S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,
2420A.NM109,Identification Code,Code identifying a party or other code /: Rendering Provider Identifier,S,1000959250,,,,
PRV,Segment - PRV Rendering Provider Specialty Information (Situational),,,,,,,
2420A.PRV01,Provider Code,Code identifying the type of provider,R,PE : Performing,,,,
2420A.PRV02,Reference Identification Qualifier,Code qualifying the Reference Identification,R,PXC : Health Care Provider Taxonomy Code,,,,
2420A.PRV03,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,1041C0700X,Service_Line_RenderingPractitionerSpecialty,Line Level,
REF,Segment - REF Rendering Provider Secondary Identification (Situational),,,,,,,
2420A.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B: State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number
LU : Location Number",,,,
2420A.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,Service_Line_OtherRenderingProviderId,Line Level,
2420A.REF04.01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,2U : Payer Identification Number,,,,
2420A.REF04.02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
Loop 2420B  — PURCHASED SERVICE PROVIDER NAME (Situational) Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Purchased Service Provider Name (Situational),,,,,,,
2420B.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,QB : Purchase Service Provider,,,,
2420B.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity",,,,
2420B.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,
2420B.NM109,Identification Code,Code identifying a party or other code,S,,,,,
REF,Segment - REF Purchased Service Provider Secondary Identification (Situational),,,,,,,
2420B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B: State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number",,,,
2420B.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
2420B.REF04.01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,2U : Payer Identification Number,,,,
2420B.REF04.02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
Loop 2420C  — SERVICE FACILITY LOCATION NAME  (Situational) Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Service Facility Location Name (Situational),,,,,,,
2420C.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,77 : Service Location,,,,
2420C.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 :Non-Person Entity,,,,
2420C.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,
2420C.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,
2420C.NM109,Identification Code,Code identifying a party or other code,S,,,,,
N3,Segment - N3 Service Facility Location Address (Required),,,,,,,
2420C.N301,Address Information,Address Information,R,,,,,
2420C.N302,Address Information,Address Information,S,,,,,
N4,"Segment - N4 Service Facility Location City, State, ZIP Code (Required)",,,,,,,
2420C.N401,City Name,Free-form text for city name,R,,,,,
2420C.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,
2420C.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,
2420C.N404,Country Code,Code identifying the country,S,,,,,
2420C.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
REF,Segment - REF Service Facility Location Secondary Identification (Situational),,,,,,,
2420C.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"LU : Location Number
G2 : Provider Commercial Number",,,,
2420C.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
2420C.REF04.01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,2U : Payer Identification Number,,,,
2420C.REF04.02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
Loop 2420D — SUPERVISING PROVIDER NAME (Situational) Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Supervising Provider Name (Situational),,,,,,,
2420D.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,DQ : Supervising Physician,,,,
2420D.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1 : Person,,,,
2420D.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,Line_Supervising_Physician_LastName,Line Level,
2420D.NM104,Name First,Individual first name,S,,,Line_Supervising_Physician_FirstName,Line Level,
2420D.NM105,Name Middle,Individual middle name or initial,S,,,,,
2420D.NM107,Name Suffix,Suffix to individual name,S,,,,,
2420D.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code,S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,
2420D.NM109,Identification Code,Code identifying a party or other code,S,,,,,
REF,Segment - REF Supervising Provider Secondary Identification (Situational),,,,,,,
2420D.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B: State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number
LU: Location Number",,,,
2420D.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
2420D.REF04.01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,2U : Payer Identification Number,,,,
2420D.REF04.02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
Loop 2420E — ORDERING PROVIDER NAME (Situational) Loop Repeat: 1,,,R,,,,,
NM1,Segment - NM1 Ordering Provider Name (Situational),,,,,,,
2420E.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,DK :Ordering Physician,,,,
2420E.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1 : Person,,,,
2420E.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,Line_Ordering_Physician_LastName,Line Level,
2420E.NM104,Name First,Individual first name,S,,,Line_Ordering_Physician_FirstName,Line Level,
2420E.NM105,Name Middle,Individual middle name or initial,S,,,,,
2420E.NM107,Name Suffix,Suffix to individual name,S,,,,,
