̥,Element Name,Usage,Enumeration Values,Hard Code / Default Value,XML Field,Mapping Logic,Notes/Comments
2300.HI03.05,Monetary Amount,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prValueCodes/paymentRequestValueCode/amount,,
2300.HI04.01,Code List Qualifier Code,R,BE - ICD10CM,BE,,,
2300.HI04.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prValueCodes/paymentRequestValueCode/valueCode,,
2300.HI04.05,Monetary Amount,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prValueCodes/paymentRequestValueCode/amount,,
2300.HI05.01,Code List Qualifier Code,R,BE - ICD10CM,BE,,,
2300.HI05.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prValueCodes/paymentRequestValueCode/valueCode,,
2300.HI05.05,Monetary Amount,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prValueCodes/paymentRequestValueCode/amount,,
2300.HI06.01,Code List Qualifier Code,R,BE - ICD10CM,BE,,,
2300.HI06.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prValueCodes/paymentRequestValueCode/valueCode,,
2300.HI06.05,Monetary Amount,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prValueCodes/paymentRequestValueCode/amount,,
2300.HI07.01,Code List Qualifier Code,R,BE - ICD10CM,BE,,,
2300.HI07.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prValueCodes/paymentRequestValueCode/valueCode,,
2300.HI07.05,Monetary Amount,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prValueCodes/paymentRequestValueCode/amount,,
2300.HI08.01,Code List Qualifier Code,R,BE - ICD10CM,BE,,,
2300.HI08.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prValueCodes/paymentRequestValueCode/valueCode,,
2300.HI08.05,Monetary Amount,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prValueCodes/paymentRequestValueCode/amount,,
2300.HI09.01,Code List Qualifier Code,R,BE - ICD10CM,BE,,,
2300.HI09.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prValueCodes/paymentRequestValueCode/valueCode,,
2300.HI09.05,Monetary Amount,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prValueCodes/paymentRequestValueCode/amount,,
2300.HI10.01,Code List Qualifier Code,R,BE - ICD10CM,BE,,,
2300.HI10.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prValueCodes/paymentRequestValueCode/valueCode,,
2300.HI10.05,Monetary Amount,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prValueCodes/paymentRequestValueCode/amount,,
2300.HI11.01,Code List Qualifier Code,R,BE - ICD10CM,BE,,,
2300.HI11.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prValueCodes/paymentRequestValueCode/valueCode,,
2300.HI11.05,Monetary Amount,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prValueCodes/paymentRequestValueCode/amount,,
2300.HI12.01,Code List Qualifier Code,R,BE - ICD10CM,BE,,,
2300.HI12.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prValueCodes/paymentRequestValueCode/valueCode,,
2300.HI12.05,Monetary Amount,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prValueCodes/paymentRequestValueCode/amount,,
,Segment - HI Condition Information (Situational),,,,,,
2300.HI01.01,Code List Qualifier Code,R,BG - Condition,BG,,,
2300.HI01.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prConditionCodes/string,,
2300.HI02.01,Code List Qualifier Code,R,BG - Condition,BG,,,
2300.HI02.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prConditionCodes/string,,
2300.HI03.01,Code List Qualifier Code,R,BG - Condition,BG,,,
2300.HI03.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prConditionCodes/string,,
2300.HI04.01,Code List Qualifier Code,R,BG - Condition,BG,,,
2300.HI04.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prConditionCodes/string,,
2300.HI05.01,Code List Qualifier Code,R,BG - Condition,BG,,,
2300.HI05.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prConditionCodes/string,,
2300.HI06.01,Code List Qualifier Code,R,BG - Condition,BG,,,
2300.HI06.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prConditionCodes/string,,
2300.HI07.01,Code List Qualifier Code,R,BG - Condition,BG,,,
2300.HI07.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prConditionCodes/string,,
2300.HI08.01,Code List Qualifier Code,R,BG - Condition,BG,,,
2300.HI08.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prConditionCodes/string,,
2300.HI09.01,Code List Qualifier Code,R,BG - Condition,BG,,,
2300.HI09.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prConditionCodes/string,,
2300.HI10.01,Code List Qualifier Code,R,BG - Condition,BG,,,
2300.HI10.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prConditionCodes/string,,
2300.HI11.01,Code List Qualifier Code,R,BG - Condition,BG,,,
2300.HI11.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prConditionCodes/string,,
2300.HI12.01,Code List Qualifier Code,R,BG - Condition,BG,,,
2300.HI12.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prConditionCodes/string,,
,Segment - HI Treatment Code Information (Situational),,,,,,
2300.HI01.01,Code List Qualifier Code,R,,,,,
2300.HI01.02,Industry Code,R,,,,,
2300.HI02.01,Code List Qualifier Code,R,,,,,
2300.HI02.02,Industry Code,R,,,,,
2300.HI03.01,Code List Qualifier Code,R,,,,,
2300.HI03.02,Industry Code,R,,,,,
2300.HI04.01,Code List Qualifier Code,R,,,,,
2300.HI04.02,Industry Code,R,,,,,
2300.HI05.01,Code List Qualifier Code,R,,,,,
2300.HI05.02,Industry Code,R,,,,,
2300.HI06.01,Code List Qualifier Code,R,,,,,
2300.HI06.02,Industry Code,R,,,,,
2300.HI07.01,Code List Qualifier Code,R,,,,,
2300.HI07.02,Industry Code,R,,,,,
2300.HI08.01,Code List Qualifier Code,R,,,,,
2300.HI08.02,Industry Code,R,,,,,
2300.HI09.01,Code List Qualifier Code,R,,,,,
2300.HI09.02,Industry Code,R,,,,,
2300.HI10.01,Code List Qualifier Code,R,,,,,
2300.HI10.02,Industry Code,R,,,,,
2300.HI11.01,Code List Qualifier Code,R,,,,,
2300.HI11.02,Industry Code,R,,,,,
2300.HI12.01,Code List Qualifier Code,R,,,,,
2300.HI12.02,Industry Code,R,,,,,
,Segment - HCP Claim Pricing/Repricing Information (Situational),,,,,,
2300.HCP01,Pricing Methodology,R,,,,,
2300.HCP02,Monetary Amount,R,,,,,
2300.HCP03,Monetary Amount,S,,,,,
2300.HCP04,Reference Identification,S,,,,,
2300.HCP05,Rate,S,,,,,
2300.HCP06,Reference Identification,S,,,,,
2300.HCP07,Monetary Amount,S,,,,,
2300.HCP08,Product/Service ID,S,,,,,
2300.HCP11,Unit or Basis for Measurement Code,S,,,,,
2300.HCP12,Quantity,S,,,,,
2300.HCP13,Reject Reason Code,S,,,,,
2300.HCP14,Policy Compliance Code,S,,,,,
2300.HCP15,Exception Code,S,,,,,
,Loop 2310A (Situational),,,,,,
,Segment - NM1 Attending Provider Name (Situational),,,,,,
2310A.NM101,Entity Identifier Code,R,71- Attending Physician,71,,,
2310A.NM102,Entity Type Qualifier,R,1- Person,1,,,
2310A.NM103,Name Last or Organization Name,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/attendingInformation/practitioner/lastName,,
2310A.NM104,Name First,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/attendingInformation/practitioner/firstName,,
2310A.NM105,Name Middle,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/attendingInformation/practitioner/middleName,,
2310A.NM107,Name Suffix,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/attendingInformation/practitioner/nameSuffix,,
2310A.NM108,Identification Code Qualifier,S,XX- CMS NPI,XX,,,
2310A.NM109,Identification Code,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/attendingInformation/NPI,,
,Segment - PRV Provider Information (Situational),,,,,,
2310A.PRV01,Provider Code,R,AT- Attending,AT,,,
2310A.PRV02,Reference Identification Qualifier,R,PXC- Health Care Provider Taxonomy Code,PXC,,,
2310A.PRV03,Reference Identification,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/attendingInformation/primarySpecialty/taxonomyCode,,
,Segment - REF Attending Provider Secondary Identification (Situational),,,,,,
2310A.REF01,Reference Identification Qualifier,R,,,,,
2310A.REF02,Reference Identification,R,,,,,
,Loop 2310B (Situational),,,,,,
,Segment - NM1 Operating Physician Name (Situational),,,,,,
2310B.NM101,Entity Identifier Code,R,72 Operating Physician,72,"If Operating physician information is present in XML, populate NM1*72*1
else don't populate this segment",,Not getting operating phy in Soap XML. Need to validate it once the Ipus chgs are complete.
2310B.NM102,Entity Type Qualifier,R,1 Person,1,,,
2310B.NM103,Name Last or Organization Name,R,,,mapped from getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/ub92Info/operatingPhysician/lastName,,
2310B.NM104,Name First,S,,,mapped from getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/ub92Info/operatingPhysician/firstName,,
2310B.NM105,Name Middle,S,,,mapped from getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/ub92Info/operatingPhysician/middleName,,
2310B.NM107,Name Suffix,S,,,mapped from getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/ub92Info/operatingPhysician/nameSuffix,,
2310B.NM108,Identification Code Qualifier,S,XX Centers for Medicare and Medicaid Services National Provider Identifier,XX,,,
2310B.NM109,Identification Code,S,,,mapped from getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/ub92Info/operatingPhysician/NPI,,
,Segment - REF Operating Physician Secondary Identification (Situational),,,,,,
2310B.REF01,Reference Identification Qualifier,R,"0B State License Number
1G Provider UPIN Number
1555 UPINs must be formatted as either X99999 or
XXX999.
G2 Provider Commercial Number
LU Location Number",,,,
2310B.REF02,Reference Identification,R,,,,,
,Loop 2310C (Situational),,,,,,
,Segment - NM1 Other Operating Physician Name (Situational),,,,Map it to 2310B first if 2310B is not mapped with any data already. Map it to 2310C only if 2310B is mapped with the data from XML,,
2310C.NM101,Entity Identifier Code,R,ZZ Mutually Defined,ZZ,,,Not getting other operating phy in Soap XML. Need to validate it once the Ipus chgs are complete.
2310C.NM102,Entity Type Qualifier,R,1 Person,2,,,
2310C.NM103,Name Last or Organization Name,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherPractitionerList/practitioner/practitioner/lastName,,Map it to 2310B first if 2310B is not mapped with any data already. Map it to 2310C only if 2310B is mapped with the data from XML
2310C.NM104,Name First,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherPractitionerList/practitioner/practitioner/firstName,,Map it to 2310B first if 2310B is not mapped with any data already. Map it to 2310C only if 2310B is mapped with the data from XML
2310C.NM105,Name Middle,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherPractitionerList/practitioner/practitioner/middleName,,Map it to 2310B first if 2310B is not mapped with any data already. Map it to 2310C only if 2310B is mapped with the data from XML
2310C.NM107,Name Suffix,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherPractitionerList/practitioner/practitioner/nameSuffix,,Map it to 2310B first if 2310B is not mapped with any data already. Map it to 2310C only if 2310B is mapped with the data from XML
2310C.NM108,Identification Code Qualifier,S,"XX Centers for Medicare and Medicaid Services
National Provider Identifier",XX,,,
2310C.NM109,Identification Code,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherPractitionerList/practitioner/NPI,,
,Segment - REF Other Operating Physician Secondary Identification (Situational),,,,,,
2310C.REF01,Reference Identification Qualifier,R,,,,,
2310C.REF02,Reference Identification,R,,,,,
,Loop 2310D (Situational),,,,,,
,Segment - NM1 Rendering Provider Name (Situational),,,Map this loop only if Provider NPI/ID is different from 2310A,,,
2310D.NM101,Entity Identifier Code,R,82 Rendering Provider,82,,,
2310D.NM102,Entity Type Qualifier,R,1 Person,I,,,
2310D.NM103,Name Last or Organization Name,R,,,claimDetails/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/practitioner/lastName/,Map from 1st Service line,
2310D.NM104,Name First,S,,,claimDetails/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/practitioner/firstName/,Map from 1st Service line,
2310D.NM105,Name Middle,S,,,,,
2310D.NM107,Name Suffix,S,,,claimDetails/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/practitioner/credentialSuffix/,Map from 1st Service line,
2310D.NM108,Identification Code Qualifier,S,"XX Centers for Medicare and Medicaid Services
National Provider Identifier",XX,,,
2310D.NM109,Identification Code,S,,,claimDetails/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/NPI/,Map from 1st Service line,
,Segment - REF Rendering Provider Secondary Identification (Situational),,,,,,
2310D.REF01,Reference Identification Qualifier,R,"0B State License Number
1G Provider UPIN Number
1555 UPINs must be formatted as either X99999 or
XXX999.
G2 Provider Commercial Number
LU Location Number",G2,,,
2310D.REF02,Reference Identification,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/NPI,Map from 1st Service line,
,Loop 2310E (Situational),,,,,,
,Segment - NM1 Service Facility Location Name (Situational),,,,,,
2310E.NM101,Entity Identifier Code,R,77 Service Location,,,,
2310E.NM102,Entity Type Qualifier,R,2 Non-Person Entity,,,,
2310E.NM103,Name Last or Organization Name,R,,,,,
2310E.NM108,Identification Code Qualifier,S,"XX Centers for Medicare and Medicaid Services
National Provider Identifier",,,,
2310E.NM109,Identification Code,S,,,,,
,Segment - N3 Service Facility Location Address (Required),,,,,,
2310E.N301,Address Information,R,,,,,
2310E.N302,Address Information,S,,,,,
,"Segment - N4 Service Facility Location City, State, ZIP Code (Required)",,,,,,
2310E.N401,City Name,R,,,,,
2310E.N402,State or Province Code,S,,,,,
2310E.N403,Postal Code,S,,,,,
2310E.N404,Country Code,S,,,,,
2310E.N407,Country Subdivision Code,S,,,,,
,Segment - REF Service Facility Location Secondary Identification (Situational),,,,,,
2310E.REF01,Reference Identification Qualifier,R,,,,,
2310E.REF02,Reference Identification,R,,,,,
,Loop 2310F (Situational),,,,,,
,Segment - NM1 Referring Provider Name (Situational),,,,,,
2310F.NM101,Entity Identifier Code,R,,DN,,,
2310F.NM102,Entity Type Qualifier,R,,1,,,
2310F.NM103,Name Last or Organization Name,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/referringInformation/practitioner/lastName,,
2310F.NM104,Name First,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/referringInformation/practitioner/firstName,,
2310F.NM105,Name Middle,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/referringInformation/practitioner/middleName,,
2310F.NM107,Name Suffix,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/referringInformation/practitioner/nameSuffix,,
2310F.NM108,Identification Code Qualifier,S,,XX,,,
2310F.NM109,Identification Code,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/referringInformation/NPI,,
,Segment - REF Referring Provider Secondary Identification (Situational),,,,,,
2310F.REF01,Reference Identification Qualifier,R,,G2,,,
2310F.REF02,Reference Identification,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/referringInformation/NPI,,
"Loop 2320 (Situational)  - First Instance
 --- It will always be mapped with HRP Paid Details",,,,,,,
,Segment - SBR Other Subscriber Information (Situational),,,,Should populate the details as given below for 1st 2320 instance,,
2320.SBR01,Payer Responsibility Sequence Number Code,R,"A Payer Responsibility Four
B Payer Responsibility Five
C Payer Responsibility Six
D Payer Responsibility Seven
E Payer Responsibility Eight
F Payer Responsibility Nine
G Payer Responsibility Ten
H Payer Responsibility Eleven
P Primary
S Secondary
T Tertiary
U Unknown","Hardcode it to ""P""","OtherInsuranceCount = Count(/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/companyName != """")

Logic to populate this instance of 2320 SBR01 -
If OtherInsuranceCount = 0
 Populate ""P""
Else If OtherInsuranceCount = 1
 Populate ""S""
Else If OtherInsuranceCount = 2
 Populate ""T""
Else If OtherInsuranceCount = 3
 Populate ""A""",,GHC
2320.SBR02,Individual Relationship Code,R,"01 Spouse
18 Self
19 Child
20 Employee
21 Unknown
39 Organ Donor
40 Cadaver Donor
53 Life Partner
G8 Other Relationship",18,,,
2320.SBR03,Reference Identification,S,,,map from getClaimDetailsByHccIDResponse/claim/subscriptionInformation/groupNumber,,
2320.SBR04,Name,S,,,,,
2320.SBR09,Claim Filing Indicator Code,S,"11 Other Non-Federal Programs
12 Preferred Provider Organization (PPO)
13 Point of Service (POS)
14 Exclusive Provider Organization (EPO)
15 Indemnity Insurance
16 Health Maintenance Organization (HMO) Medicare
Risk
17 Dental Maintenance Organization
AM Automobile Medical
BL Blue Cross/Blue Shield
CH Champus
CI Commercial Insurance Co.
DS Disability
FI Federal Employees Program
HM Health Maintenance Organization
LM Liability Medical
MA Medicare Part A
MB Medicare Part B
MC Medicaid
OF Other Federal Program
claims.
TV Title V
VA Veterans Affairs Plan
WC Workers’ Compensation Health Claim
ZZ Mutually Defined
71 Use Code ZZ when Type of Insurance is not",,"getClaimDetailsByHccIDResponseRecord/identifiers/identifier/value
if
getClaimDetailsByHccIDResponseRecord/identifiers/identifier/key is equal to ""CLAIM_FILING_INDICATOR_CODE",,
,Segment - CAS Claim Level Adjustments (Situational),,,,,,
2320.CAS01,Claim Adjustment Group Code,R,,,,,
2320.CAS02,Claim Adjustment Reason Code,R,,,,,
2320.CAS03,Monetary Amount,R,,,,,
2320.CAS04,Quantity,S,,,,,
2320.CAS05,Claim Adjustment Reason Code,S,,,,,
2320.CAS06,Monetary Amount,S,,,,,
2320.CAS07,Quantity,S,,,,,
2320.CAS08,Claim Adjustment Reason Code,S,,,,,
2320.CAS09,Monetary Amount,S,,,,,
2320.CAS10,Quantity,S,,,,,
2320.CAS11,Claim Adjustment Reason Code,S,,,,,
2320.CAS12,Monetary Amount,S,,,,,
2320.CAS13,Quantity,S,,,,,
2320.CAS14,Claim Adjustment Reason Code,S,,,,,
2320.CAS15,Monetary Amount,S,,,,,
2320.CAS16,Quantity,S,,,,,
2320.CAS17,Claim Adjustment Reason Code,S,,,,,
2320.CAS18,Monetary Amount,S,,,,,
2320.CAS19,Quantity,S,,,,,
,Segment - AMT Coordination of Benefits (COB) Payer Paid Amount (Situational),,,,,,
2320.AMT01,Amount Qualifier Code,R,D Payor Amount Paid,D,,,This amount should match the Claim Line SVD Paid Amount
2320.AMT02,Monetary Amount,R,,,/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimTotals/paidAmount,,
,Segment - AMT Remaining Patient Liability (Situational),,,,,,
2320.AMT01,Amount Qualifier Code,R,EAF Amount Owed,,,,
2320.AMT02,Monetary Amount,R,Remaining Patient Liability,,,,
,Segment - AMT Coordination of Benefits (COB) Total Non-covered Amount (Situational),,,,,,
2320.AMT01,Amount Qualifier Code,R,A8 Noncovered Charges - Actual,,,,
2320.AMT02,Monetary Amount,R,,,,,
,Segment - OI Other Insurance Coverage Information (Required),,,,,,
2320.OI03,Yes/No Condition or Response Code,R,"N No
W Not Applicable
Y Yes",,"Hardcode to ""Y""",,
2320.OI06,Release of Information Code,R,"I Informed Consent to Release Medical Information
for Conditions or Diagnoses Regulated by Federal
Statutes
Y Yes, Provider has a Signed Statement Permitting
Release of Medical Billing Data Related to a Claim",,"Hardcode to ""Y""",,
,Segment - MIA Inpatient Adjudication Information (Situational),,,,,,
2320.MIA01,Quantity,R,,,,,
2320.MIA03,Quantity,S,,,,,
2320.MIA04,Monetary Amount,S,,,,,
2320.MIA05,Reference Identification,S,,,,,
2320.MIA06,Monetary Amount,S,,,,,
2320.MIA07,Monetary Amount,S,,,,,
2320.MIA08,Monetary Amount,S,,,,,
2320.MIA09,Monetary Amount,S,,,,,
2320.MIA10,Monetary Amount,S,,,,,
2320.MIA11,Monetary Amount,S,,,,,
2320.MIA12,Monetary Amount,S,,,,,
2320.MIA13,Monetary Amount,S,,,,,
2320.MIA14,Monetary Amount,S,,,,,
2320.MIA15,Quantity,S,,,,,
2320.MIA16,Monetary Amount,S,,,,,
2320.MIA17,Monetary Amount,S,,,,,
2320.MIA18,Monetary Amount,S,,,,,
2320.MIA19,Monetary Amount,S,,,,,
2320.MIA20,Reference Identification,S,,,,,
2320.MIA21,Reference Identification,S,,,,,
2320.MIA22,Reference Identification,S,,,,,
2320.MIA23,Reference Identification,S,,,,,
2320.MIA24,Monetary Amount,S,,,,,
,Segment - MOA Outpatient Adjudication Information (Situational),,,,,,
2320.MOA01,Percentage as Decimal,S,,,,,
2320.MOA02,Monetary Amount,S,,,,,
2320.MOA03,Reference Identification,S,,,,,
2320.MOA04,Reference Identification,S,,,,,
2320.MOA05,Reference Identification,S,,,,,
2320.MOA06,Reference Identification,S,,,,,
2320.MOA07,Reference Identification,S,,,,,
2320.MOA08,Monetary Amount,S,,,,,
2320.MOA09,Monetary Amount,S,,,,,
,Loop 2330A(Situational),,,,,,
,Segment - NM1 Other Subscriber Name (Required),,,,,,
2330A.NM101,Entity Identifier Code,R,IL : Insured or Subscriber,IL,,,Copy the details of the patient from 2000B loop here
2330A.NM102,Entity Type Qualifier,R,"1 : Person
2 : Non-Person Entity",1,,,
2330A.NM103,Name Last or Organization Name,R,,,Copy from 2010BA,,
2330A.NM104,Name First,S,,,Copy from 2010BA,,
2330A.NM105,Name Middle,S,,,Copy from 2010BA,,
2330A.NM107,Name Suffix,S,,,Copy from 2010BA,,
2330A.NM108,Identification Code Qualifier,R,"II Standard Unique Health Identifier for each Individual
MI Member Identification Number",MI,,,
2330A.NM109,Identification Code,R,,,Copy from 2010BA,,
,Segment - N3 Other Subscriber Address (Situational),,,,,,
2330A.N301,Address Information,R,,,Copy from 2010BA,,
2330A.N302,Address Information,S,,,Copy from 2010BA,,
,Segment - N4 Other Subscriber City/State/ZIP Code (Situational),,,,,,
2330A.N401,City Name,R,,,Copy from 2010BA,,
2330A.N402,State or Province Code,S,,,Copy from 2010BA,,
2330A.N403,Postal Code,S,,,Copy from 2010BA,,
2330A.N404,Country Code,S,,US,Copy from 2010BA,,
2330A.N407,Country Subdivision Code,S,,,Copy from 2010BA,,
,Segment - REF Other Subscriber Secondary Information (Situational),,,,,,
2330A.REF01,Reference Identification Qualifier,R,,,Copy from 2010BA,,
2330A.REF02,Reference Identification,R,,,Copy from 2010BA,,
,Loop 2330B(Situational),,,,,,
,Segment - NM1 Other Payer Name (Required),,,,,,
